1484854816 INTERNAL *** MONITORD_STARTED ***
1484854814 INTERNAL *** DAGMAN_STARTED 11058.0 ***
1484854818 create_dir_example_workflow_0_local SUBMIT 11059.0 local - 1
1484854823 create_dir_example_workflow_0_local EXECUTE 11059.0 local - 1
1484854823 create_dir_example_workflow_0_local JOB_TERMINATED 11059.0 local - 1
1484854823 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1484854823 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 11059.0 local - 1
1484854828 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 11059.0 local - 1
1484854828 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1484854834 stage_in_local_local_0_0 SUBMIT 11060.0 local - 2
1484854834 stage_in_local_local_0_0 EXECUTE 11060.0 local - 2
1484854834 stage_in_local_local_4_0 SUBMIT 11061.0 local - 3
1484854834 stage_in_local_local_1_0 SUBMIT 11062.0 local - 4
1484854834 stage_in_local_local_2_0 SUBMIT 11063.0 local - 5
1484854834 stage_in_remote_local_1_0 SUBMIT 11064.0 local - 6
1484854839 stage_in_local_local_0_0 JOB_TERMINATED 11060.0 local - 2
1484854839 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1484854839 stage_in_local_local_0_0 POST_SCRIPT_STARTED 11060.0 local - 2
1484854839 stage_in_local_local_2_0 EXECUTE 11063.0 local - 5
1484854839 stage_in_remote_local_1_0 EXECUTE 11064.0 local - 6
1484854839 stage_in_local_local_4_0 EXECUTE 11061.0 local - 3
1484854839 stage_in_local_local_1_0 EXECUTE 11062.0 local - 4
1484854839 stage_in_local_local_2_0 JOB_TERMINATED 11063.0 local - 5
1484854839 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 5
1484854839 stage_in_local_local_2_0 POST_SCRIPT_STARTED 11063.0 local - 5
1484854839 stage_in_remote_local_1_0 JOB_TERMINATED 11064.0 local - 6
1484854839 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 6
1484854839 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 11064.0 local - 6
1484854839 stage_in_local_local_4_0 JOB_TERMINATED 11061.0 local - 3
1484854839 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 3
1484854839 stage_in_local_local_4_0 POST_SCRIPT_STARTED 11061.0 local - 3
1484854839 stage_in_local_local_1_0 JOB_TERMINATED 11062.0 local - 4
