1484916717 INTERNAL *** MONITORD_STARTED ***
1484916715 INTERNAL *** DAGMAN_STARTED 11168.0 ***
1484916719 create_dir_example_workflow_0_local SUBMIT 11169.0 local - 1
1484916725 create_dir_example_workflow_0_local EXECUTE 11169.0 local - 1
1484916725 create_dir_example_workflow_0_local JOB_TERMINATED 11169.0 local - 1
1484916725 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1484916725 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 11169.0 local - 1
1484916730 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 11169.0 local - 1
1484916730 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1484916735 stage_in_local_local_0_0 SUBMIT 11170.0 local - 2
1484916735 stage_in_local_local_4_0 SUBMIT 11171.0 local - 3
1484916735 stage_in_local_local_0_0 EXECUTE 11170.0 local - 2
1484916735 stage_in_local_local_1_0 SUBMIT 11172.0 local - 4
1484916735 stage_in_local_local_2_0 SUBMIT 11173.0 local - 5
1484916735 stage_in_remote_local_1_0 SUBMIT 11174.0 local - 6
1484916740 stage_in_local_local_0_0 JOB_TERMINATED 11170.0 local - 2
1484916740 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1484916740 stage_in_local_local_0_0 POST_SCRIPT_STARTED 11170.0 local - 2
1484916740 stage_in_local_local_1_0 EXECUTE 11172.0 local - 4
1484916740 stage_in_local_local_2_0 EXECUTE 11173.0 local - 5
1484916740 stage_in_local_local_4_0 EXECUTE 11171.0 local - 3
1484916740 stage_in_remote_local_1_0 EXECUTE 11174.0 local - 6
1484916740 stage_in_local_local_4_0 JOB_TERMINATED 11171.0 local - 3
1484916740 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 3
1484916740 stage_in_local_local_4_0 POST_SCRIPT_STARTED 11171.0 local - 3
1484916740 stage_in_remote_local_1_0 JOB_TERMINATED 11174.0 local - 6
1484916740 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 6
1484916740 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 11174.0 local - 6
1484916740 stage_in_local_local_1_0 JOB_TERMINATED 11172.0 local - 4
1484916740 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 4
1484916740 stage_in_local_local_1_0 POST_SCRIPT_STARTED 11172.0 local - 4
1484916741 stage_in_local_local_2_0 JOB_TERMINATED 11173.0 local - 5
1484916741 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 5
1484916741 stage_in_local_local_2_0 POST_SCRIPT_STARTED 11173.0 local - 5
1484916741 stage_in_local_local_3_0 SUBMIT 11175.0 local - 7
1484916741 stage_in_local_local_3_0 EXECUTE 11175.0 local - 7
1484916741 stage_in_remote_local_3_0 SUBMIT 11176.0 local - 8
1484916741 stage_in_remote_local_3_0 EXECUTE 11176.0 local - 8
1484916746 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 11171.0 local - 3
1484916746 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 3
1484916746 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 11170.0 local - 2
1484916746 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1484916746 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 11173.0 local - 5
1484916746 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 5
1484916746 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 11172.0 local - 4
1484916746 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 4
1484916746 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 11174.0 local - 6
1484916746 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 6
1484916746 stage_in_local_local_3_0 JOB_TERMINATED 11175.0 local - 7
1484916746 stage_in_local_local_3_0 JOB_SUCCESS 0 local - 7
1484916746 stage_in_local_local_3_0 POST_SCRIPT_STARTED 11175.0 local - 7
1484916746 stage_in_remote_local_3_0 JOB_TERMINATED 11176.0 local - 8
1484916746 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 8
1484916746 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 11176.0 local - 8
1484916751 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 11176.0 local - 8
1484916751 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 8
1484916751 stage_in_local_local_3_0 POST_SCRIPT_TERMINATED 11175.0 local - 7
1484916751 stage_in_local_local_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1484916751 init_0_ID0000001 SUBMIT 11177.0 condorpool - 9
1484916756 init_0_ID0000001 EXECUTE 11177.0 condorpool - 9
1484917291 init_0_ID0000001 JOB_TERMINATED 11177.0 condorpool - 9
1484917291 init_0_ID0000001 JOB_SUCCESS 0 condorpool - 9
1484917291 init_0_ID0000001 POST_SCRIPT_STARTED 11177.0 condorpool - 9
1484917296 init_0_ID0000001 POST_SCRIPT_TERMINATED 11177.0 condorpool - 9
1484917296 init_0_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 9
1484917302 clean_up_local_level_3_0 SUBMIT 11178.0 local - 10
1484917302 clean_up_local_level_3_0 EXECUTE 11178.0 local - 10
1484917302 computeusergroup_0_ID0000002 SUBMIT 11179.0 condorpool - 11
1484917307 computeusergroup_0_ID0000002 EXECUTE 11179.0 condorpool - 11
1484917307 clean_up_local_level_3_0 JOB_TERMINATED 11178.0 local - 10
1484917307 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 10
1484917307 clean_up_local_level_3_0 POST_SCRIPT_STARTED 11178.0 local - 10
1484917312 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 11178.0 local - 10
1484917312 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 10
1484920800 computeusergroup_0_ID0000002 JOB_TERMINATED 11179.0 condorpool - 11
1484920800 computeusergroup_0_ID0000002 JOB_SUCCESS 0 condorpool - 11
1484920800 computeusergroup_0_ID0000002 POST_SCRIPT_STARTED 11179.0 condorpool - 11
1484920805 computeusergroup_0_ID0000002 POST_SCRIPT_TERMINATED 11179.0 condorpool - 11
1484920805 computeusergroup_0_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 11
1484920810 clean_up_local_level_4_0 SUBMIT 11180.0 local - 12
1484920810 clean_up_local_level_4_0 EXECUTE 11180.0 local - 12
1484920810 stage_out_local_local_1_0 SUBMIT 11181.0 local - 13
1484920810 sessioncompute_0_ID0000003 SUBMIT 11182.0 condorpool - 14
1484920815 clean_up_local_level_4_0 JOB_TERMINATED 11180.0 local - 12
1484920815 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 12
1484920815 clean_up_local_level_4_0 POST_SCRIPT_STARTED 11180.0 local - 12
1484920815 stage_out_local_local_1_0 EXECUTE 11181.0 local - 13
1484920820 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 11180.0 local - 12
1484920820 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 12
1484920820 stage_out_local_local_1_0 JOB_TERMINATED 11181.0 local - 13
1484920820 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 13
1484920820 stage_out_local_local_1_0 POST_SCRIPT_STARTED 11181.0 local - 13
1484920825 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 11181.0 local - 13
1484920825 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 13
1484920840 sessioncompute_0_ID0000003 EXECUTE 11182.0 condorpool - 14
1484922046 sessioncompute_0_ID0000003 JOB_TERMINATED 11182.0 condorpool - 14
1484922046 sessioncompute_0_ID0000003 JOB_SUCCESS 0 condorpool - 14
1484922046 sessioncompute_0_ID0000003 POST_SCRIPT_STARTED 11182.0 condorpool - 14
1484922051 sessioncompute_0_ID0000003 POST_SCRIPT_TERMINATED 11182.0 condorpool - 14
1484922051 sessioncompute_0_ID0000003 POST_SCRIPT_SUCCESS 0 condorpool - 14
1484922057 longestsession_0_ID0000004 SUBMIT 11183.0 condorpool - 15
1484922057 clean_up_local_level_5_0 SUBMIT 11184.0 local - 16
1484922057 clean_up_local_level_5_1 SUBMIT 11185.0 local - 17
1484922062 longestsession_0_ID0000004 EXECUTE 11183.0 condorpool - 15
1484922067 clean_up_local_level_5_0 EXECUTE 11184.0 local - 16
1484922067 clean_up_local_level_5_1 EXECUTE 11185.0 local - 17
1484922067 clean_up_local_level_5_0 JOB_TERMINATED 11184.0 local - 16
1484922067 clean_up_local_level_5_0 JOB_SUCCESS 0 local - 16
1484922067 clean_up_local_level_5_0 POST_SCRIPT_STARTED 11184.0 local - 16
1484922067 clean_up_local_level_5_1 JOB_TERMINATED 11185.0 local - 17
1484922067 clean_up_local_level_5_1 JOB_SUCCESS 0 local - 17
1484922067 clean_up_local_level_5_1 POST_SCRIPT_STARTED 11185.0 local - 17
1484922072 clean_up_local_level_5_0 POST_SCRIPT_TERMINATED 11184.0 local - 16
1484922072 clean_up_local_level_5_0 POST_SCRIPT_SUCCESS 0 local - 16
1484922072 clean_up_local_level_5_1 POST_SCRIPT_TERMINATED 11185.0 local - 17
1484922072 clean_up_local_level_5_1 POST_SCRIPT_SUCCESS 0 local - 17
1484922082 longestsession_0_ID0000004 JOB_TERMINATED 11183.0 condorpool - 15
1484922082 longestsession_0_ID0000004 JOB_SUCCESS 0 condorpool - 15
1484922082 longestsession_0_ID0000004 POST_SCRIPT_STARTED 11183.0 condorpool - 15
1484922087 longestsession_0_ID0000004 POST_SCRIPT_TERMINATED 11183.0 condorpool - 15
1484922087 longestsession_0_ID0000004 POST_SCRIPT_SUCCESS 0 condorpool - 15
1484922092 terminate_0_ID0000005 SUBMIT 11186.0 condorpool - 18
1484922092 clean_up_local_level_6_0 SUBMIT 11187.0 local - 19
1484922097 terminate_0_ID0000005 EXECUTE 11186.0 condorpool - 18
1484922097 terminate_0_ID0000005 JOB_TERMINATED 11186.0 condorpool - 18
1484922097 terminate_0_ID0000005 JOB_SUCCESS 0 condorpool - 18
1484922097 terminate_0_ID0000005 POST_SCRIPT_STARTED 11186.0 condorpool - 18
1484922102 terminate_0_ID0000005 POST_SCRIPT_TERMINATED 11186.0 condorpool - 18
1484922102 terminate_0_ID0000005 POST_SCRIPT_SUCCESS 0 condorpool - 18
1484922102 clean_up_local_level_6_0 EXECUTE 11187.0 local - 19
1484922107 clean_up_local_level_6_0 JOB_TERMINATED 11187.0 local - 19
1484922107 clean_up_local_level_6_0 JOB_SUCCESS 0 local - 19
1484922107 clean_up_local_level_6_0 POST_SCRIPT_STARTED 11187.0 local - 19
1484922108 clean_up_local_level_7_0 SUBMIT 11188.0 local - 20
1484922113 clean_up_local_level_7_0 EXECUTE 11188.0 local - 20
1484922113 clean_up_local_level_6_0 POST_SCRIPT_TERMINATED 11187.0 local - 19
1484922113 clean_up_local_level_6_0 POST_SCRIPT_SUCCESS 0 local - 19
1484922113 clean_up_local_level_7_0 JOB_TERMINATED 11188.0 local - 20
1484922113 clean_up_local_level_7_0 JOB_SUCCESS 0 local - 20
1484922113 clean_up_local_level_7_0 POST_SCRIPT_STARTED 11188.0 local - 20
