1485004036 INTERNAL *** MONITORD_STARTED ***
1485004035 INTERNAL *** DAGMAN_STARTED 11278.0 ***
1485004039 create_dir_example_workflow_0_local SUBMIT 11279.0 local - 1
1485004044 create_dir_example_workflow_0_local EXECUTE 11279.0 local - 1
1485004044 create_dir_example_workflow_0_local JOB_TERMINATED 11279.0 local - 1
1485004044 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1485004044 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 11279.0 local - 1
1485004049 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 11279.0 local - 1
1485004049 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1485004073 stage_in_local_local_0_0 SUBMIT 11280.0 local - 2
1485004073 stage_in_local_local_4_0 SUBMIT 11281.0 local - 3
1485004073 stage_in_local_local_0_0 EXECUTE 11280.0 local - 2
1485004073 stage_in_local_local_1_0 SUBMIT 11282.0 local - 4
1485004073 stage_in_local_local_4_0 EXECUTE 11281.0 local - 3
1485004073 stage_in_local_local_2_0 SUBMIT 11283.0 local - 5
1485004073 stage_in_remote_local_1_0 SUBMIT 11284.0 local - 6
1485004078 stage_in_local_local_0_0 JOB_TERMINATED 11280.0 local - 2
1485004078 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1485004078 stage_in_local_local_0_0 POST_SCRIPT_STARTED 11280.0 local - 2
1485004078 stage_in_local_local_4_0 JOB_TERMINATED 11281.0 local - 3
1485004078 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 3
1485004078 stage_in_local_local_4_0 POST_SCRIPT_STARTED 11281.0 local - 3
1485004078 stage_in_remote_local_1_0 EXECUTE 11284.0 local - 6
1485004078 stage_in_local_local_2_0 EXECUTE 11283.0 local - 5
1485004078 stage_in_local_local_1_0 EXECUTE 11282.0 local - 4
1485004078 stage_in_local_local_2_0 JOB_TERMINATED 11283.0 local - 5
1485004078 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 5
1485004078 stage_in_local_local_2_0 POST_SCRIPT_STARTED 11283.0 local - 5
1485004078 stage_in_local_local_1_0 JOB_TERMINATED 11282.0 local - 4
1485004078 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 4
1485004078 stage_in_local_local_1_0 POST_SCRIPT_STARTED 11282.0 local - 4
1485004078 stage_in_remote_local_1_0 JOB_TERMINATED 11284.0 local - 6
1485004078 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 6
1485004078 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 11284.0 local - 6
1485004078 stage_in_local_local_3_0 SUBMIT 11285.0 local - 7
1485004078 stage_in_local_local_3_0 EXECUTE 11285.0 local - 7
1485004078 stage_in_remote_local_3_0 SUBMIT 11286.0 local - 8
1485004083 stage_in_remote_local_3_0 EXECUTE 11286.0 local - 8
1485004083 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 11282.0 local - 4
1485004083 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 4
1485004083 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 11280.0 local - 2
1485004083 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1485004083 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 11283.0 local - 5
1485004083 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 5
1485004083 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 11281.0 local - 3
1485004083 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 3
1485004083 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 11284.0 local - 6
1485004083 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 6
1485004083 stage_in_local_local_3_0 JOB_TERMINATED 11285.0 local - 7
1485004083 stage_in_local_local_3_0 JOB_SUCCESS 0 local - 7
1485004083 stage_in_local_local_3_0 POST_SCRIPT_STARTED 11285.0 local - 7
1485004083 stage_in_remote_local_3_0 JOB_TERMINATED 11286.0 local - 8
1485004083 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 8
1485004083 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 11286.0 local - 8
1485004088 stage_in_local_local_3_0 POST_SCRIPT_TERMINATED 11285.0 local - 7
1485004088 stage_in_local_local_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1485004088 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 11286.0 local - 8
1485004088 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 8
1485004088 init_0_ID0000001 SUBMIT 11287.0 condorpool - 9
1485004098 init_0_ID0000001 EXECUTE 11287.0 condorpool - 9
1485004633 init_0_ID0000001 JOB_TERMINATED 11287.0 condorpool - 9
1485004633 init_0_ID0000001 JOB_SUCCESS 0 condorpool - 9
1485004633 init_0_ID0000001 POST_SCRIPT_STARTED 11287.0 condorpool - 9
1485004638 init_0_ID0000001 POST_SCRIPT_TERMINATED 11287.0 condorpool - 9
1485004638 init_0_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 9
1485004644 clean_up_local_level_3_0 SUBMIT 11288.0 local - 10
1485004644 computeusergroup_0_ID0000002 SUBMIT 11289.0 condorpool - 11
1485004644 clean_up_local_level_3_0 EXECUTE 11288.0 local - 10
1485004649 computeusergroup_0_ID0000002 EXECUTE 11289.0 condorpool - 11
1485004649 clean_up_local_level_3_0 JOB_TERMINATED 11288.0 local - 10
1485004649 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 10
1485004649 clean_up_local_level_3_0 POST_SCRIPT_STARTED 11288.0 local - 10
1485004654 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 11288.0 local - 10
1485004654 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 10
1485010790 computeusergroup_0_ID0000002 JOB_TERMINATED 11289.0 condorpool - 11
1485010790 computeusergroup_0_ID0000002 JOB_SUCCESS 0 condorpool - 11
1485010790 computeusergroup_0_ID0000002 POST_SCRIPT_STARTED 11289.0 condorpool - 11
1485010795 computeusergroup_0_ID0000002 POST_SCRIPT_TERMINATED 11289.0 condorpool - 11
1485010795 computeusergroup_0_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 11
1485010801 clean_up_local_level_4_0 SUBMIT 11290.0 local - 12
1485010801 clean_up_local_level_4_0 EXECUTE 11290.0 local - 12
1485010801 stage_out_local_local_1_0 SUBMIT 11291.0 local - 13
1485010801 sessioncompute_0_ID0000003 SUBMIT 11292.0 condorpool - 14
1485010806 clean_up_local_level_4_0 JOB_TERMINATED 11290.0 local - 12
1485010806 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 12
1485010806 clean_up_local_level_4_0 POST_SCRIPT_STARTED 11290.0 local - 12
1485010806 stage_out_local_local_1_0 EXECUTE 11291.0 local - 13
