1484711065 INTERNAL *** MONITORD_STARTED ***
1484711063 INTERNAL *** DAGMAN_STARTED 10731.0 ***
1484711067 create_dir_example_workflow_0_local SUBMIT 10732.0 local - 1
1484711072 create_dir_example_workflow_0_local EXECUTE 10732.0 local - 1
1484711072 create_dir_example_workflow_0_local JOB_TERMINATED 10732.0 local - 1
1484711072 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1484711072 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 10732.0 local - 1
1484711077 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 10732.0 local - 1
1484711077 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1484711083 stage_in_local_local_0_0 SUBMIT 10733.0 local - 2
1484711083 stage_in_local_local_4_0 SUBMIT 10734.0 local - 3
1484711083 stage_in_local_local_0_0 EXECUTE 10733.0 local - 2
1484711083 stage_in_local_local_1_0 SUBMIT 10735.0 local - 4
1484711083 stage_in_local_local_2_0 SUBMIT 10736.0 local - 5
1484711083 stage_in_local_local_2_1 SUBMIT 10737.0 local - 6
1484711088 stage_in_local_local_0_0 JOB_TERMINATED 10733.0 local - 2
1484711088 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1484711088 stage_in_local_local_0_0 POST_SCRIPT_STARTED 10733.0 local - 2
1484711088 stage_in_local_local_4_0 EXECUTE 10734.0 local - 3
1484711088 stage_in_local_local_1_0 EXECUTE 10735.0 local - 4
1484711088 stage_in_local_local_2_1 EXECUTE 10737.0 local - 6
1484711088 stage_in_local_local_2_0 EXECUTE 10736.0 local - 5
1484711088 stage_in_local_local_1_0 JOB_TERMINATED 10735.0 local - 4
1484711088 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 4
1484711088 stage_in_local_local_1_0 POST_SCRIPT_STARTED 10735.0 local - 4
1484711088 stage_in_local_local_4_0 JOB_TERMINATED 10734.0 local - 3
1484711088 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 3
1484711088 stage_in_local_local_4_0 POST_SCRIPT_STARTED 10734.0 local - 3
1484711088 stage_in_local_local_2_1 JOB_TERMINATED 10737.0 local - 6
1484711088 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 6
1484711088 stage_in_local_local_2_1 POST_SCRIPT_STARTED 10737.0 local - 6
1484711088 stage_in_remote_local_1_0 SUBMIT 10738.0 local - 7
1484711088 stage_in_local_local_3_1 SUBMIT 10739.0 local - 8
1484711088 stage_in_remote_local_1_0 EXECUTE 10738.0 local - 7
1484711088 stage_in_local_local_3_1 EXECUTE 10739.0 local - 8
1484711088 stage_in_local_local_3_0 SUBMIT 10740.0 local - 9
1484711088 stage_in_remote_local_3_1 SUBMIT 10741.0 local - 10
1484711088 stage_in_remote_local_3_0 SUBMIT 10742.0 local - 11
1484711093 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 10737.0 local - 6
1484711093 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 6
1484711093 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 10733.0 local - 2
1484711093 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1484711093 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 10734.0 local - 3
1484711093 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 3
1484711093 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 10735.0 local - 4
1484711093 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 4
1484711093 stage_in_local_local_2_0 JOB_TERMINATED 10736.0 local - 5
1484711093 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 5
1484711093 stage_in_local_local_2_0 POST_SCRIPT_STARTED 10736.0 local - 5
1484711093 stage_in_remote_local_3_1 EXECUTE 10741.0 local - 10
1484711093 stage_in_local_local_3_0 EXECUTE 10740.0 local - 9
1484711093 stage_in_remote_local_3_0 EXECUTE 10742.0 local - 11
1484711093 stage_in_local_local_3_1 JOB_TERMINATED 10739.0 local - 8
1484711093 stage_in_local_local_3_1 JOB_SUCCESS 0 local - 8
1484711093 stage_in_local_local_3_1 POST_SCRIPT_STARTED 10739.0 local - 8
1484711093 stage_in_remote_local_1_0 JOB_TERMINATED 10738.0 local - 7
1484711093 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 7
1484711093 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 10738.0 local - 7
1484711093 stage_in_remote_local_3_1 JOB_TERMINATED 10741.0 local - 10
1484711093 stage_in_remote_local_3_1 JOB_SUCCESS 0 local - 10
