1484764253 INTERNAL *** MONITORD_STARTED ***
1484764252 INTERNAL *** DAGMAN_STARTED 10855.0 ***
1484764256 create_dir_example_workflow_0_local SUBMIT 10856.0 local - 1
1484764261 create_dir_example_workflow_0_local EXECUTE 10856.0 local - 1
1484764261 create_dir_example_workflow_0_local JOB_TERMINATED 10856.0 local - 1
1484764261 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1484764261 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 10856.0 local - 1
1484764266 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 10856.0 local - 1
1484764266 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1484764271 stage_in_local_local_0_0 SUBMIT 10857.0 local - 2
1484764271 stage_in_local_local_0_0 EXECUTE 10857.0 local - 2
1484764271 stage_in_local_local_4_0 SUBMIT 10858.0 local - 3
1484764271 stage_in_local_local_1_0 SUBMIT 10859.0 local - 4
1484764271 stage_in_local_local_2_0 SUBMIT 10860.0 local - 5
1484764271 stage_in_local_local_2_1 SUBMIT 10861.0 local - 6
1484764277 stage_in_local_local_0_0 JOB_TERMINATED 10857.0 local - 2
1484764277 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1484764277 stage_in_local_local_0_0 POST_SCRIPT_STARTED 10857.0 local - 2
1484764277 stage_in_local_local_1_0 EXECUTE 10859.0 local - 4
1484764277 stage_in_local_local_4_0 EXECUTE 10858.0 local - 3
1484764277 stage_in_local_local_2_1 EXECUTE 10861.0 local - 6
1484764277 stage_in_local_local_2_0 EXECUTE 10860.0 local - 5
1484764277 stage_in_local_local_2_1 JOB_TERMINATED 10861.0 local - 6
1484764277 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 6
1484764277 stage_in_local_local_2_1 POST_SCRIPT_STARTED 10861.0 local - 6
1484764277 stage_in_local_local_4_0 JOB_TERMINATED 10858.0 local - 3
1484764277 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 3
1484764277 stage_in_local_local_4_0 POST_SCRIPT_STARTED 10858.0 local - 3
1484764277 stage_in_local_local_1_0 JOB_TERMINATED 10859.0 local - 4
1484764277 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 4
1484764277 stage_in_local_local_1_0 POST_SCRIPT_STARTED 10859.0 local - 4
1484764277 stage_in_remote_local_1_0 SUBMIT 10862.0 local - 7
1484764277 stage_in_remote_local_1_0 EXECUTE 10862.0 local - 7
1484764277 stage_in_local_local_3_1 SUBMIT 10863.0 local - 8
1484764277 stage_in_local_local_3_1 EXECUTE 10863.0 local - 8
1484764277 stage_in_local_local_3_0 SUBMIT 10864.0 local - 9
1484764277 stage_in_local_local_3_0 EXECUTE 10864.0 local - 9
1484764277 stage_in_remote_local_3_1 SUBMIT 10865.0 local - 10
1484764277 stage_in_remote_local_3_0 SUBMIT 10866.0 local - 11
1484764282 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 10859.0 local - 4
1484764282 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 4
1484764282 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 10857.0 local - 2
1484764282 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1484764282 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 10861.0 local - 6
1484764282 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 6
1484764282 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 10858.0 local - 3
1484764282 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 3
1484764282 stage_in_local_local_2_0 JOB_TERMINATED 10860.0 local - 5
1484764282 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 5
1484764282 stage_in_local_local_2_0 POST_SCRIPT_STARTED 10860.0 local - 5
1484764282 stage_in_remote_local_3_1 EXECUTE 10865.0 local - 10
1484764282 stage_in_remote_local_3_0 EXECUTE 10866.0 local - 11
1484764282 stage_in_remote_local_1_0 JOB_TERMINATED 10862.0 local - 7
1484764282 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 7
1484764282 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 10862.0 local - 7
1484764282 stage_in_local_local_3_1 JOB_TERMINATED 10863.0 local - 8
1484764282 stage_in_local_local_3_1 JOB_SUCCESS 0 local - 8
1484764282 stage_in_local_local_3_1 POST_SCRIPT_STARTED 10863.0 local - 8
1484764282 stage_in_remote_local_3_1 JOB_TERMINATED 10865.0 local - 10
1484764282 stage_in_remote_local_3_1 JOB_SUCCESS 0 local - 10
1484764282 stage_in_remote_local_3_1 POST_SCRIPT_STARTED 10865.0 local - 10
1484764282 stage_in_local_local_3_0 JOB_TERMINATED 10864.0 local - 9
1484764282 stage_in_local_local_3_0 JOB_SUCCESS 0 local - 9
1484764282 stage_in_local_local_3_0 POST_SCRIPT_STARTED 10864.0 local - 9
1484764287 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 10860.0 local - 5
1484764287 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 5
1484764287 stage_in_remote_local_3_0 JOB_TERMINATED 10866.0 local - 11
1484764287 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 11
1484764287 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 10866.0 local - 11
1484764287 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 10862.0 local - 7
1484764287 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 7
1484764287 stage_in_local_local_3_0 POST_SCRIPT_TERMINATED 10864.0 local - 9
1484764287 stage_in_local_local_3_0 POST_SCRIPT_SUCCESS 0 local - 9
1484764287 stage_in_remote_local_3_1 POST_SCRIPT_TERMINATED 10865.0 local - 10
1484764287 stage_in_remote_local_3_1 POST_SCRIPT_SUCCESS 0 local - 10
1484764287 stage_in_local_local_3_1 POST_SCRIPT_TERMINATED 10863.0 local - 8
1484764287 stage_in_local_local_3_1 POST_SCRIPT_SUCCESS 0 local - 8
1484764287 init_0_ID0000001 SUBMIT 10867.0 condorpool - 12
1484764292 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 10866.0 local - 11
1484764292 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 11
1484764297 init_0_ID0000001 EXECUTE 10867.0 condorpool - 12
1484764852 init_0_ID0000001 JOB_TERMINATED 10867.0 condorpool - 12
1484764852 init_0_ID0000001 JOB_SUCCESS 0 condorpool - 12
1484764852 init_0_ID0000001 POST_SCRIPT_STARTED 10867.0 condorpool - 12
1484764857 init_0_ID0000001 POST_SCRIPT_TERMINATED 10867.0 condorpool - 12
1484764857 init_0_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 12
1484764866 clean_up_local_level_3_0 SUBMIT 10868.0 local - 13
1484764866 clean_up_local_level_3_0 EXECUTE 10868.0 local - 13
1484764866 computeusergroup_0_ID0000002 SUBMIT 10869.0 condorpool - 14
1484764871 computeusergroup_0_ID0000002 EXECUTE 10869.0 condorpool - 14
1484764871 clean_up_local_level_3_0 JOB_TERMINATED 10868.0 local - 13
1484764871 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 13
1484764871 clean_up_local_level_3_0 POST_SCRIPT_STARTED 10868.0 local - 13
1484764876 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 10868.0 local - 13
1484764876 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 13
1484771096 computeusergroup_0_ID0000002 JOB_TERMINATED 10869.0 condorpool - 14
1484771096 computeusergroup_0_ID0000002 JOB_SUCCESS 0 condorpool - 14
1484771096 computeusergroup_0_ID0000002 POST_SCRIPT_STARTED 10869.0 condorpool - 14
1484771101 computeusergroup_0_ID0000002 POST_SCRIPT_TERMINATED 10869.0 condorpool - 14
1484771101 computeusergroup_0_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 14
1484771107 clean_up_local_level_4_0 SUBMIT 10870.0 local - 15
1484771107 sessioncompute_1_ID0000004 SUBMIT 10871.0 condorpool - 16
1484771107 clean_up_local_level_4_0 EXECUTE 10870.0 local - 15
1484771107 stage_out_local_local_1_0 SUBMIT 10872.0 local - 17
1484771107 stage_out_local_local_1_1 SUBMIT 10873.0 local - 18
1484771107 sessioncompute_0_ID0000003 SUBMIT 10874.0 condorpool - 19
1484771112 clean_up_local_level_4_0 JOB_TERMINATED 10870.0 local - 15
1484771112 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 15
1484771112 clean_up_local_level_4_0 POST_SCRIPT_STARTED 10870.0 local - 15
1484771112 stage_out_local_local_1_0 EXECUTE 10872.0 local - 17
1484771112 stage_out_local_local_1_1 EXECUTE 10873.0 local - 18
1484771112 sessioncompute_2_ID0000005 SUBMIT 10875.0 condorpool - 20
1484771117 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 10870.0 local - 15
1484771117 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 15
1484771117 stage_out_local_local_1_1 JOB_TERMINATED 10873.0 local - 18
1484771117 stage_out_local_local_1_1 JOB_SUCCESS 0 local - 18
1484771117 stage_out_local_local_1_1 POST_SCRIPT_STARTED 10873.0 local - 18
1484771117 stage_out_local_local_1_0 JOB_TERMINATED 10872.0 local - 17
1484771117 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 17
1484771117 stage_out_local_local_1_0 POST_SCRIPT_STARTED 10872.0 local - 17
1484771122 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 10872.0 local - 17
1484771122 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 17
1484771122 stage_out_local_local_1_1 POST_SCRIPT_TERMINATED 10873.0 local - 18
1484771122 stage_out_local_local_1_1 POST_SCRIPT_SUCCESS 0 local - 18
1484771132 sessioncompute_2_ID0000005 EXECUTE 10875.0 condorpool - 20
1484771132 sessioncompute_0_ID0000003 EXECUTE 10874.0 condorpool - 19
1484771132 sessioncompute_1_ID0000004 EXECUTE 10871.0 condorpool - 16
1484771822 sessioncompute_1_ID0000004 JOB_TERMINATED 10871.0 condorpool - 16
1484771822 sessioncompute_1_ID0000004 JOB_SUCCESS 0 condorpool - 16
1484771822 sessioncompute_1_ID0000004 POST_SCRIPT_STARTED 10871.0 condorpool - 16
1484771827 sessioncompute_1_ID0000004 POST_SCRIPT_TERMINATED 10871.0 condorpool - 16
1484771827 sessioncompute_1_ID0000004 POST_SCRIPT_SUCCESS 0 condorpool - 16
1484771832 sessioncompute_0_ID0000003 JOB_TERMINATED 10874.0 condorpool - 19
1484771832 sessioncompute_0_ID0000003 JOB_SUCCESS 0 condorpool - 19
1484771832 sessioncompute_0_ID0000003 POST_SCRIPT_STARTED 10874.0 condorpool - 19
1484771837 sessioncompute_0_ID0000003 POST_SCRIPT_TERMINATED 10874.0 condorpool - 19
1484771837 sessioncompute_0_ID0000003 POST_SCRIPT_SUCCESS 0 condorpool - 19
1484771932 sessioncompute_2_ID0000005 JOB_TERMINATED 10875.0 condorpool - 20
1484771932 sessioncompute_2_ID0000005 JOB_SUCCESS 0 condorpool - 20
1484771932 sessioncompute_2_ID0000005 POST_SCRIPT_STARTED 10875.0 condorpool - 20
1484771937 sessioncompute_2_ID0000005 POST_SCRIPT_TERMINATED 10875.0 condorpool - 20
1484771937 sessioncompute_2_ID0000005 POST_SCRIPT_SUCCESS 0 condorpool - 20
1484771942 longestsession_2_ID0000008 SUBMIT 10876.0 condorpool - 21
1484771942 longestsession_1_ID0000007 SUBMIT 10877.0 condorpool - 22
1484771942 clean_up_local_level_5_0 SUBMIT 10878.0 local - 23
1484771942 clean_up_local_level_5_1 SUBMIT 10879.0 local - 24
1484771942 longestsession_0_ID0000006 SUBMIT 10880.0 condorpool - 25
1484771947 longestsession_2_ID0000008 EXECUTE 10876.0 condorpool - 21
1484771952 clean_up_local_level_5_1 EXECUTE 10879.0 local - 24
1484771952 clean_up_local_level_5_0 EXECUTE 10878.0 local - 23
1484771952 clean_up_local_level_5_1 JOB_TERMINATED 10879.0 local - 24
1484771952 clean_up_local_level_5_1 JOB_SUCCESS 0 local - 24
1484771952 clean_up_local_level_5_1 POST_SCRIPT_STARTED 10879.0 local - 24
1484771957 clean_up_local_level_5_1 POST_SCRIPT_TERMINATED 10879.0 local - 24
1484771957 clean_up_local_level_5_1 POST_SCRIPT_SUCCESS 0 local - 24
1484771957 longestsession_2_ID0000008 JOB_TERMINATED 10876.0 condorpool - 21
1484771957 longestsession_2_ID0000008 JOB_SUCCESS 0 condorpool - 21
1484771957 longestsession_2_ID0000008 POST_SCRIPT_STARTED 10876.0 condorpool - 21
1484771957 longestsession_1_ID0000007 EXECUTE 10877.0 condorpool - 22
1484771957 clean_up_local_level_5_0 JOB_TERMINATED 10878.0 local - 23
1484771957 clean_up_local_level_5_0 JOB_SUCCESS 0 local - 23
1484771957 clean_up_local_level_5_0 POST_SCRIPT_STARTED 10878.0 local - 23
1484771962 clean_up_local_level_5_0 POST_SCRIPT_TERMINATED 10878.0 local - 23
1484771962 clean_up_local_level_5_0 POST_SCRIPT_SUCCESS 0 local - 23
1484771962 longestsession_2_ID0000008 POST_SCRIPT_TERMINATED 10876.0 condorpool - 21
1484771962 longestsession_2_ID0000008 POST_SCRIPT_SUCCESS 0 condorpool - 21
1484771967 longestsession_0_ID0000006 EXECUTE 10880.0 condorpool - 25
1484771967 longestsession_1_ID0000007 JOB_TERMINATED 10877.0 condorpool - 22
1484771967 longestsession_1_ID0000007 JOB_SUCCESS 0 condorpool - 22
1484771967 longestsession_1_ID0000007 POST_SCRIPT_STARTED 10877.0 condorpool - 22
1484771972 longestsession_0_ID0000006 JOB_TERMINATED 10880.0 condorpool - 25
1484771972 longestsession_0_ID0000006 JOB_SUCCESS 0 condorpool - 25
1484771972 longestsession_0_ID0000006 POST_SCRIPT_STARTED 10880.0 condorpool - 25
1484771972 longestsession_1_ID0000007 POST_SCRIPT_TERMINATED 10877.0 condorpool - 22
1484771972 longestsession_1_ID0000007 POST_SCRIPT_SUCCESS 0 condorpool - 22
1484771977 longestsession_0_ID0000006 POST_SCRIPT_TERMINATED 10880.0 condorpool - 25
1484771977 longestsession_0_ID0000006 POST_SCRIPT_SUCCESS 0 condorpool - 25
1484771977 clean_up_local_level_6_0 SUBMIT 10881.0 local - 26
1484771982 clean_up_local_level_6_0 EXECUTE 10881.0 local - 26
1484771982 clean_up_local_level_6_1 SUBMIT 10882.0 local - 27
1484771982 terminate_0_ID0000009 SUBMIT 10883.0 condorpool - 28
1484771987 clean_up_local_level_6_1 EXECUTE 10882.0 local - 27
1484771987 terminate_0_ID0000009 EXECUTE 10883.0 condorpool - 28
1484771987 terminate_0_ID0000009 JOB_TERMINATED 10883.0 condorpool - 28
1484771987 terminate_0_ID0000009 JOB_SUCCESS 0 condorpool - 28
1484771987 terminate_0_ID0000009 POST_SCRIPT_STARTED 10883.0 condorpool - 28
1484771987 clean_up_local_level_6_0 JOB_TERMINATED 10881.0 local - 26
1484771987 clean_up_local_level_6_0 JOB_SUCCESS 0 local - 26
1484771987 clean_up_local_level_6_0 POST_SCRIPT_STARTED 10881.0 local - 26
1484771987 clean_up_local_level_6_1 JOB_TERMINATED 10882.0 local - 27
1484771987 clean_up_local_level_6_1 JOB_SUCCESS 0 local - 27
1484771987 clean_up_local_level_6_1 POST_SCRIPT_STARTED 10882.0 local - 27
1484771993 terminate_0_ID0000009 POST_SCRIPT_TERMINATED 10883.0 condorpool - 28
1484771993 terminate_0_ID0000009 POST_SCRIPT_SUCCESS 0 condorpool - 28
1484771993 clean_up_local_level_6_1 POST_SCRIPT_TERMINATED 10882.0 local - 27
1484771993 clean_up_local_level_6_1 POST_SCRIPT_SUCCESS 0 local - 27
1484771993 clean_up_local_level_6_0 POST_SCRIPT_TERMINATED 10881.0 local - 26
1484771993 clean_up_local_level_6_0 POST_SCRIPT_SUCCESS 0 local - 26
1484771998 clean_up_local_level_7_0 SUBMIT 10884.0 local - 29
1484772003 clean_up_local_level_7_0 EXECUTE 10884.0 local - 29
1484772003 clean_up_local_level_7_0 JOB_TERMINATED 10884.0 local - 29
1484772003 clean_up_local_level_7_0 JOB_SUCCESS 0 local - 29
1484772003 clean_up_local_level_7_0 POST_SCRIPT_STARTED 10884.0 local - 29
1484772008 clean_up_local_level_7_0 POST_SCRIPT_TERMINATED 10884.0 local - 29
1484772008 clean_up_local_level_7_0 POST_SCRIPT_SUCCESS 0 local - 29
1484772013 cleanup_example_workflow_0_local SUBMIT 10885.0 local - 30
1484772018 cleanup_example_workflow_0_local EXECUTE 10885.0 local - 30
1484772018 cleanup_example_workflow_0_local JOB_TERMINATED 10885.0 local - 30
1484772018 cleanup_example_workflow_0_local JOB_SUCCESS 0 local - 30
1484772018 INTERNAL *** DAGMAN_FINISHED 0 ***
1484772020 INTERNAL *** MONITORD_FINISHED 0 ***
