
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 6beabcc0-c248-48d0-a950-7c1a30df450c (example_workflow)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname                                    
create_dir_example_workflow_0_local 1   local      0.0       1    0.0            -        5.0  5.0         -        0.0     -       -             0        None                                        
stage_in_local_local_0_0            1   local      2.225     1    2.225          0.14     5.0  0.0         -        6.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
stage_in_local_local_4_0            1   local      2.503     1    2.503          0.171    5.0  6.0         -        0.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
stage_in_local_local_1_0            1   local      2.413     1    2.413          0.132    5.0  6.0         -        0.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
stage_in_local_local_2_0            1   local      2.494     1    2.494          0.123    5.0  6.0         -        0.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
stage_in_remote_local_0_0           1   local      2.446     1    2.446          0.123    5.0  6.0         -        0.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
stage_in_remote_local_4_0           1   local      2.355     1    2.355          0.112    5.0  0.0         -        5.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
stage_in_remote_local_1_0           1   local      2.556     1    2.556          0.142    5.0  0.0         -        5.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
stage_in_local_local_3_0            1   local      2.547     1    2.547          0.151    5.0  0.0         -        5.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
stage_in_remote_local_3_0           1   local      2.452     1    2.452          0.17     5.0  0.0         -        5.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
init_0_ID0000001                    1   condorpool 1010.977  1    1010.977       0.079    5.0  5.0         -        1011.0  -       -             0        ip-172-31-22-237.us-west-2.compute.internal 
clean_up_local_level_3_0            1   local      4.178     1    4.178          0.149    5.0  0.0         -        5.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
computeusergroup_0_ID0000002        1   condorpool 2331.35   1    2331.35        161.036  5.0  5.0         -        4175.0  -       -             0        ip-172-31-22-237.us-west-2.compute.internal 
clean_up_local_level_4_0            1   local      4.305     1    4.305          0.138    5.0  0.0         -        5.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
stage_out_local_local_1_0           1   local      4.365     1    4.365          0.147    5.0  5.0         -        5.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
stage_out_local_local_1_1           1   local      2.36      1    2.36           0.121    5.0  5.0         -        5.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
sessioncompute_0_ID0000003          1   condorpool 382.677   1    382.677        35.499   5.0  25.0        -        380.0   -       -             0        ip-172-31-22-237.us-west-2.compute.internal 
longestsession_0_ID0000004          1   condorpool 13.377    1    13.377         0.621    5.0  5.0         -        10.0    -       -             0        ip-172-31-22-237.us-west-2.compute.internal 
clean_up_local_level_5_0            1   local      6.233     1    6.233          0.133    5.0  5.0         -        10.0    -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
clean_up_local_level_5_1            1   local      2.269     1    2.269          0.129    5.0  5.0         -        5.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
terminate_0_ID0000005               1   condorpool 0.122     1    0.122          0.084    5.0  5.0         -        0.0     -       -             0        ip-172-31-22-237.us-west-2.compute.internal 
clean_up_local_level_6_0            1   local      4.176     1    4.176          0.136    5.0  10.0        -        0.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
clean_up_local_level_7_0            1   local      4.136     1    4.136          0.138    5.0  5.0         -        0.0     -       -             0        ip-172-31-19-126.us-west-1.compute.internal 
cleanup_example_workflow_0_local    1   local      0.0       1    0.0            -        -    5.0         -        0.0     -       -             0        None                                        
