
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# bac8a6c6-6316-498d-8479-22ce0768557e (example_workflow)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     31        31        0       5.0       6.0       5.032         156.0     
pegasus::cleanup                 8         8         0       0.0       8.137     4.659         37.274    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                14        14        0       2.2       4.455     2.921         40.893    
wikiflow::computeusergroup_0:1.0 1         1         0       3307.664  3307.664  3307.664      3307.664  
wikiflow::init_0:1.0             1         1         0       1020.714  1020.714  1020.714      1020.714  
wikiflow::longestsession_0:1.0   1         1         0       8.061     8.061     8.061         8.061     
wikiflow::longestsession_1:1.0   1         1         0       8.836     8.836     8.836         8.836     
wikiflow::longestsession_2:1.0   1         1         0       8.372     8.372     8.372         8.372     
wikiflow::sessioncompute_0:1.0   1         1         0       240.823   240.823   240.823       240.823   
wikiflow::sessioncompute_1:1.0   1         1         0       275.359   275.359   275.359       275.359   
wikiflow::sessioncompute_2:1.0   1         1         0       265.738   265.738   265.738       265.738   
wikiflow::terminate_0:1.0        1         1         0       0.099     0.099     0.099         0.099     


# All (All)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     31        31        0       5.0       6.0       5.032         156.0     
pegasus::cleanup                 8         8         0       0.0       8.137     4.659         37.274    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                14        14        0       2.2       4.455     2.921         40.893    
wikiflow::computeusergroup_0:1.0 1         1         0       3307.664  3307.664  3307.664      3307.664  
wikiflow::init_0:1.0             1         1         0       1020.714  1020.714  1020.714      1020.714  
wikiflow::longestsession_0:1.0   1         1         0       8.061     8.061     8.061         8.061     
wikiflow::longestsession_1:1.0   1         1         0       8.836     8.836     8.836         8.836     
wikiflow::longestsession_2:1.0   1         1         0       8.372     8.372     8.372         8.372     
wikiflow::sessioncompute_0:1.0   1         1         0       240.823   240.823   240.823       240.823   
wikiflow::sessioncompute_1:1.0   1         1         0       275.359   275.359   275.359       275.359   
wikiflow::sessioncompute_2:1.0   1         1         0       265.738   265.738   265.738       265.738   
wikiflow::terminate_0:1.0        1         1         0       0.099     0.099     0.099         0.099     
