1484849142 INTERNAL *** MONITORD_STARTED ***
1484849140 INTERNAL *** DAGMAN_STARTED 9887.0 ***
1484849144 create_dir_example_workflow_0_local SUBMIT 9888.0 local - 1
1484849149 create_dir_example_workflow_0_local EXECUTE 9888.0 local - 1
1484849149 create_dir_example_workflow_0_local JOB_TERMINATED 9888.0 local - 1
1484849149 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1484849149 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 9888.0 local - 1
1484849154 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 9888.0 local - 1
1484849154 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1484849160 stage_in_local_local_0_0 SUBMIT 9889.0 local - 2
1484849160 stage_in_local_local_0_0 EXECUTE 9889.0 local - 2
1484849160 stage_in_local_local_4_0 SUBMIT 9890.0 local - 3
1484849160 stage_in_local_local_1_0 SUBMIT 9891.0 local - 4
1484849160 stage_in_local_local_2_0 SUBMIT 9892.0 local - 5
1484849160 stage_in_local_local_2_1 SUBMIT 9893.0 local - 6
1484849165 stage_in_local_local_0_0 JOB_TERMINATED 9889.0 local - 2
1484849165 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1484849165 stage_in_local_local_0_0 POST_SCRIPT_STARTED 9889.0 local - 2
1484849165 stage_in_local_local_2_0 EXECUTE 9892.0 local - 5
1484849165 stage_in_local_local_1_0 EXECUTE 9891.0 local - 4
1484849165 stage_in_local_local_2_1 EXECUTE 9893.0 local - 6
1484849165 stage_in_local_local_4_0 EXECUTE 9890.0 local - 3
1484849165 stage_in_local_local_1_0 JOB_TERMINATED 9891.0 local - 4
1484849165 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 4
1484849165 stage_in_local_local_1_0 POST_SCRIPT_STARTED 9891.0 local - 4
1484849165 stage_in_local_local_4_0 JOB_TERMINATED 9890.0 local - 3
1484849165 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 3
1484849165 stage_in_local_local_4_0 POST_SCRIPT_STARTED 9890.0 local - 3
1484849165 stage_in_local_local_2_1 JOB_TERMINATED 9893.0 local - 6
1484849165 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 6
1484849165 stage_in_local_local_2_1 POST_SCRIPT_STARTED 9893.0 local - 6
1484849165 stage_in_remote_local_0_0 SUBMIT 9894.0 local - 7
1484849165 stage_in_remote_local_4_0 SUBMIT 9895.0 local - 8
1484849165 stage_in_remote_local_1_0 SUBMIT 9896.0 local - 9
1484849165 stage_in_local_local_3_1 SUBMIT 9897.0 local - 10
1484849165 stage_in_local_local_3_0 SUBMIT 9898.0 local - 11
1484849171 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 9889.0 local - 2
1484849171 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1484849171 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 9893.0 local - 6
1484849171 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 6
1484849171 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 9891.0 local - 4
1484849171 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 4
1484849171 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 9890.0 local - 3
1484849171 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 3
1484849171 stage_in_local_local_2_0 JOB_TERMINATED 9892.0 local - 5
1484849171 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 5
1484849171 stage_in_local_local_2_0 POST_SCRIPT_STARTED 9892.0 local - 5
1484849171 stage_in_remote_local_4_0 EXECUTE 9895.0 local - 8
1484849171 stage_in_local_local_3_0 EXECUTE 9898.0 local - 11
1484849171 stage_in_remote_local_0_0 EXECUTE 9894.0 local - 7
1484849171 stage_in_local_local_3_1 EXECUTE 9897.0 local - 10
1484849171 stage_in_remote_local_1_0 EXECUTE 9896.0 local - 9
1484849171 stage_in_remote_local_4_0 JOB_TERMINATED 9895.0 local - 8
1484849171 stage_in_remote_local_4_0 JOB_SUCCESS 0 local - 8
1484849171 stage_in_remote_local_4_0 POST_SCRIPT_STARTED 9895.0 local - 8
1484849171 stage_in_remote_local_1_0 JOB_TERMINATED 9896.0 local - 9
1484849171 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 9
1484849171 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 9896.0 local - 9
1484849171 stage_in_remote_local_0_0 JOB_TERMINATED 9894.0 local - 7
1484849171 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 7
1484849171 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 9894.0 local - 7
1484849171 stage_in_local_local_3_1 JOB_TERMINATED 9897.0 local - 10
1484849171 stage_in_local_local_3_1 JOB_SUCCESS 0 local - 10
1484849171 stage_in_local_local_3_1 POST_SCRIPT_STARTED 9897.0 local - 10
1484849171 stage_in_remote_local_3_1 SUBMIT 9899.0 local - 12
1484849171 stage_in_remote_local_3_0 SUBMIT 9900.0 local - 13
1484849176 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 9892.0 local - 5
1484849176 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 5
1484849176 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 9896.0 local - 9
1484849176 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 9
1484849176 stage_in_local_local_3_0 JOB_TERMINATED 9898.0 local - 11
1484849176 stage_in_local_local_3_0 JOB_SUCCESS 0 local - 11
1484849176 stage_in_local_local_3_0 POST_SCRIPT_STARTED 9898.0 local - 11
1484849176 stage_in_remote_local_3_0 EXECUTE 9900.0 local - 13
1484849176 stage_in_remote_local_3_1 EXECUTE 9899.0 local - 12
1484849176 stage_in_remote_local_4_0 POST_SCRIPT_TERMINATED 9895.0 local - 8
1484849176 stage_in_remote_local_4_0 POST_SCRIPT_SUCCESS 0 local - 8
1484849176 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 9894.0 local - 7
1484849176 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 7
1484849176 stage_in_local_local_3_1 POST_SCRIPT_TERMINATED 9897.0 local - 10
1484849176 stage_in_local_local_3_1 POST_SCRIPT_SUCCESS 0 local - 10
1484849176 stage_in_remote_local_3_1 JOB_TERMINATED 9899.0 local - 12
1484849176 stage_in_remote_local_3_1 JOB_SUCCESS 0 local - 12
1484849176 stage_in_remote_local_3_1 POST_SCRIPT_STARTED 9899.0 local - 12
1484849181 stage_in_remote_local_3_0 JOB_TERMINATED 9900.0 local - 13
1484849181 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 13
1484849181 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 9900.0 local - 13
1484849181 stage_in_local_local_3_0 POST_SCRIPT_TERMINATED 9898.0 local - 11
1484849181 stage_in_local_local_3_0 POST_SCRIPT_SUCCESS 0 local - 11
1484849181 stage_in_remote_local_3_1 POST_SCRIPT_TERMINATED 9899.0 local - 12
1484849181 stage_in_remote_local_3_1 POST_SCRIPT_SUCCESS 0 local - 12
1484849181 init_0_ID0000001 SUBMIT 9901.0 condorpool - 14
1484849186 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 9900.0 local - 13
1484849186 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 13
1484849201 init_0_ID0000001 EXECUTE 9901.0 condorpool - 14
1484850207 init_0_ID0000001 JOB_TERMINATED 9901.0 condorpool - 14
1484850207 init_0_ID0000001 JOB_SUCCESS 0 condorpool - 14
1484850207 init_0_ID0000001 POST_SCRIPT_STARTED 9901.0 condorpool - 14
1484850212 init_0_ID0000001 POST_SCRIPT_TERMINATED 9901.0 condorpool - 14
1484850212 init_0_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 14
1484850217 clean_up_local_level_3_0 SUBMIT 9902.0 local - 15
1484850217 clean_up_local_level_3_0 EXECUTE 9902.0 local - 15
1484850217 computeusergroup_0_ID0000002 SUBMIT 9903.0 condorpool - 16
1484850223 computeusergroup_0_ID0000002 EXECUTE 9903.0 condorpool - 16
1484850223 clean_up_local_level_3_0 JOB_TERMINATED 9902.0 local - 15
1484850223 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 15
1484850223 clean_up_local_level_3_0 POST_SCRIPT_STARTED 9902.0 local - 15
1484850228 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 9902.0 local - 15
1484850228 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 15
1484853546 computeusergroup_0_ID0000002 JOB_TERMINATED 9903.0 condorpool - 16
1484853546 computeusergroup_0_ID0000002 JOB_SUCCESS 0 condorpool - 16
1484853546 computeusergroup_0_ID0000002 POST_SCRIPT_STARTED 9903.0 condorpool - 16
1484853551 computeusergroup_0_ID0000002 POST_SCRIPT_TERMINATED 9903.0 condorpool - 16
1484853551 computeusergroup_0_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 16
1484853557 clean_up_local_level_4_0 SUBMIT 9904.0 local - 17
1484853557 clean_up_local_level_4_0 EXECUTE 9904.0 local - 17
1484853557 sessioncompute_1_ID0000004 SUBMIT 9905.0 condorpool - 18
1484853557 stage_out_local_local_1_0 SUBMIT 9906.0 local - 19
1484853557 stage_out_local_local_1_1 SUBMIT 9907.0 local - 20
1484853557 sessioncompute_0_ID0000003 SUBMIT 9908.0 condorpool - 21
1484853562 clean_up_local_level_4_0 JOB_TERMINATED 9904.0 local - 17
1484853562 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 17
1484853562 clean_up_local_level_4_0 POST_SCRIPT_STARTED 9904.0 local - 17
1484853562 stage_out_local_local_1_1 EXECUTE 9907.0 local - 20
1484853562 stage_out_local_local_1_0 EXECUTE 9906.0 local - 19
1484853562 sessioncompute_2_ID0000005 SUBMIT 9909.0 condorpool - 22
1484853567 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 9904.0 local - 17
1484853567 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 17
1484853567 stage_out_local_local_1_1 JOB_TERMINATED 9907.0 local - 20
1484853567 stage_out_local_local_1_1 JOB_SUCCESS 0 local - 20
1484853567 stage_out_local_local_1_1 POST_SCRIPT_STARTED 9907.0 local - 20
1484853567 stage_out_local_local_1_0 JOB_TERMINATED 9906.0 local - 19
1484853567 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 19
1484853567 stage_out_local_local_1_0 POST_SCRIPT_STARTED 9906.0 local - 19
1484853572 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 9906.0 local - 19
1484853572 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 19
1484853572 stage_out_local_local_1_1 POST_SCRIPT_TERMINATED 9907.0 local - 20
1484853572 stage_out_local_local_1_1 POST_SCRIPT_SUCCESS 0 local - 20
1484853582 sessioncompute_2_ID0000005 EXECUTE 9909.0 condorpool - 22
1484853582 sessioncompute_1_ID0000004 EXECUTE 9905.0 condorpool - 18
1484853582 sessioncompute_0_ID0000003 EXECUTE 9908.0 condorpool - 21
1484853812 sessioncompute_0_ID0000003 JOB_TERMINATED 9908.0 condorpool - 21
1484853812 sessioncompute_0_ID0000003 JOB_SUCCESS 0 condorpool - 21
1484853812 sessioncompute_0_ID0000003 POST_SCRIPT_STARTED 9908.0 condorpool - 21
1484853817 sessioncompute_0_ID0000003 POST_SCRIPT_TERMINATED 9908.0 condorpool - 21
1484853817 sessioncompute_0_ID0000003 POST_SCRIPT_SUCCESS 0 condorpool - 21
1484853842 sessioncompute_2_ID0000005 JOB_TERMINATED 9909.0 condorpool - 22
1484853842 sessioncompute_2_ID0000005 JOB_SUCCESS 0 condorpool - 22
1484853842 sessioncompute_2_ID0000005 POST_SCRIPT_STARTED 9909.0 condorpool - 22
1484853847 sessioncompute_2_ID0000005 POST_SCRIPT_TERMINATED 9909.0 condorpool - 22
