1484837378 INTERNAL *** MONITORD_STARTED ***
1484837376 INTERNAL *** DAGMAN_STARTED 11014.0 ***
1484837380 create_dir_example_workflow_0_local SUBMIT 11015.0 local - 1
1484837385 create_dir_example_workflow_0_local EXECUTE 11015.0 local - 1
1484837385 create_dir_example_workflow_0_local JOB_TERMINATED 11015.0 local - 1
1484837385 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1484837385 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 11015.0 local - 1
1484837390 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 11015.0 local - 1
1484837390 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1484837395 stage_in_local_local_0_0 SUBMIT 11016.0 local - 2
1484837395 stage_in_local_local_4_0 SUBMIT 11017.0 local - 3
1484837395 stage_in_local_local_0_0 EXECUTE 11016.0 local - 2
1484837395 stage_in_local_local_1_0 SUBMIT 11018.0 local - 4
1484837395 stage_in_local_local_2_0 SUBMIT 11019.0 local - 5
1484837395 stage_in_remote_local_1_0 SUBMIT 11020.0 local - 6
1484837400 stage_in_local_local_0_0 JOB_TERMINATED 11016.0 local - 2
1484837400 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1484837400 stage_in_local_local_0_0 POST_SCRIPT_STARTED 11016.0 local - 2
1484837400 stage_in_local_local_4_0 EXECUTE 11017.0 local - 3
1484837400 stage_in_remote_local_1_0 EXECUTE 11020.0 local - 6
1484837400 stage_in_local_local_2_0 EXECUTE 11019.0 local - 5
1484837400 stage_in_local_local_1_0 EXECUTE 11018.0 local - 4
1484837400 stage_in_remote_local_1_0 JOB_TERMINATED 11020.0 local - 6
1484837400 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 6
1484837400 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 11020.0 local - 6
1484837400 stage_in_local_local_4_0 JOB_TERMINATED 11017.0 local - 3
1484837400 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 3
1484837400 stage_in_local_local_4_0 POST_SCRIPT_STARTED 11017.0 local - 3
1484837400 stage_in_local_local_2_0 JOB_TERMINATED 11019.0 local - 5
1484837400 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 5
1484837400 stage_in_local_local_2_0 POST_SCRIPT_STARTED 11019.0 local - 5
1484837400 stage_in_local_local_1_0 JOB_TERMINATED 11018.0 local - 4
1484837400 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 4
1484837400 stage_in_local_local_1_0 POST_SCRIPT_STARTED 11018.0 local - 4
1484837400 stage_in_local_local_3_0 SUBMIT 11021.0 local - 7
1484837400 stage_in_local_local_3_0 EXECUTE 11021.0 local - 7
1484837400 stage_in_remote_local_3_0 SUBMIT 11022.0 local - 8
1484837400 stage_in_remote_local_3_0 EXECUTE 11022.0 local - 8
1484837405 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 11019.0 local - 5
1484837405 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 5
1484837405 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 11016.0 local - 2
1484837405 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1484837405 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 11017.0 local - 3
1484837405 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 3
1484837405 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 11020.0 local - 6
1484837405 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 6
1484837405 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 11018.0 local - 4
1484837405 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 4
1484837405 stage_in_local_local_3_0 JOB_TERMINATED 11021.0 local - 7
1484837405 stage_in_local_local_3_0 JOB_SUCCESS 0 local - 7
1484837405 stage_in_local_local_3_0 POST_SCRIPT_STARTED 11021.0 local - 7
1484837405 stage_in_remote_local_3_0 JOB_TERMINATED 11022.0 local - 8
1484837405 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 8
1484837405 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 11022.0 local - 8
1484837410 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 11022.0 local - 8
1484837410 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 8
1484837410 stage_in_local_local_3_0 POST_SCRIPT_TERMINATED 11021.0 local - 7
1484837410 stage_in_local_local_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1484837410 init_0_ID0000001 SUBMIT 11023.0 condorpool - 9
1484837420 init_0_ID0000001 EXECUTE 11023.0 condorpool - 9
