
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# c2c30026-5042-44af-8e1e-587ef4027422 (example_workflow)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     20        20        0       5.0       5.0       5.0           100.0     
pegasus::cleanup                 7         7         0       0.0       4.23      2.468         17.273    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                8         8         0       2.236     2.625     2.437         19.494    
wikiflow::computeusergroup_0:1.0 1         1         0       6019.232  6019.232  6019.232      6019.232  
wikiflow::init_0:1.0             1         1         0       547.835   547.835   547.835       547.835   
wikiflow::longestsession_0:1.0   1         1         0       19.704    19.704    19.704        19.704    
wikiflow::sessioncompute_0:1.0   1         1         0       1436.371  1436.371  1436.371      1436.371  
wikiflow::terminate_0:1.0        1         1         0       0.628     0.628     0.628         0.628     


# All (All)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     20        20        0       5.0       5.0       5.0           100.0     
pegasus::cleanup                 7         7         0       0.0       4.23      2.468         17.273    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                8         8         0       2.236     2.625     2.437         19.494    
wikiflow::computeusergroup_0:1.0 1         1         0       6019.232  6019.232  6019.232      6019.232  
wikiflow::init_0:1.0             1         1         0       547.835   547.835   547.835       547.835   
wikiflow::longestsession_0:1.0   1         1         0       19.704    19.704    19.704        19.704    
wikiflow::sessioncompute_0:1.0   1         1         0       1436.371  1436.371  1436.371      1436.371  
wikiflow::terminate_0:1.0        1         1         0       0.628     0.628     0.628         0.628     
