
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 842a5a1e-eadc-4cdf-92b6-487fbd426fe2 (example_workflow)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     29        29        0       5.0       6.0       5.138         149.0     
pegasus::cleanup                 8         8         0       0.0       8.279     4.2           33.597    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                12        12        0       2.238     4.639     3.126         37.516    
wikiflow::computeusergroup_0:1.0 1         1         0       3784.348  3784.348  3784.348      3784.348  
wikiflow::init_0:1.0             1         1         0       522.294   522.294   522.294       522.294   
wikiflow::longestsession_0:1.0   1         1         0       4.645     4.645     4.645         4.645     
wikiflow::longestsession_1:1.0   1         1         0       8.723     8.723     8.723         8.723     
wikiflow::longestsession_2:1.0   1         1         0       12.711    12.711    12.711        12.711    
wikiflow::sessioncompute_0:1.0   1         1         0       628.173   628.173   628.173       628.173   
wikiflow::sessioncompute_1:1.0   1         1         0       610.255   610.255   610.255       610.255   
wikiflow::sessioncompute_2:1.0   1         1         0       699.932   699.932   699.932       699.932   
wikiflow::terminate_0:1.0        1         1         0       0.636     0.636     0.636         0.636     


# All (All)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     29        29        0       5.0       6.0       5.138         149.0     
pegasus::cleanup                 8         8         0       0.0       8.279     4.2           33.597    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                12        12        0       2.238     4.639     3.126         37.516    
wikiflow::computeusergroup_0:1.0 1         1         0       3784.348  3784.348  3784.348      3784.348  
wikiflow::init_0:1.0             1         1         0       522.294   522.294   522.294       522.294   
wikiflow::longestsession_0:1.0   1         1         0       4.645     4.645     4.645         4.645     
wikiflow::longestsession_1:1.0   1         1         0       8.723     8.723     8.723         8.723     
wikiflow::longestsession_2:1.0   1         1         0       12.711    12.711    12.711        12.711    
wikiflow::sessioncompute_0:1.0   1         1         0       628.173   628.173   628.173       628.173   
wikiflow::sessioncompute_1:1.0   1         1         0       610.255   610.255   610.255       610.255   
wikiflow::sessioncompute_2:1.0   1         1         0       699.932   699.932   699.932       699.932   
wikiflow::terminate_0:1.0        1         1         0       0.636     0.636     0.636         0.636     
