
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 9244bdcf-ce07-4d84-b4e9-ff0fd03d62eb (example_workflow)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     20        20        0       5.0       5.0       5.0           100.0     
pegasus::cleanup                 7         7         0       0.0       4.366     2.51          17.571    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                8         8         0       2.236     2.553     2.404         19.232    
wikiflow::computeusergroup_0:1.0 1         1         0       3370.6    3370.6    3370.6        3370.6    
wikiflow::init_0:1.0             1         1         0       417.694   417.694   417.694       417.694   
wikiflow::longestsession_0:1.0   1         1         0       20.429    20.429    20.429        20.429    
wikiflow::sessioncompute_0:1.0   1         1         0       2479.487  2479.487  2479.487      2479.487  
wikiflow::terminate_0:1.0        1         1         0       0.65      0.65      0.65          0.65      


# All (All)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     20        20        0       5.0       5.0       5.0           100.0     
pegasus::cleanup                 7         7         0       0.0       4.366     2.51          17.571    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                8         8         0       2.236     2.553     2.404         19.232    
wikiflow::computeusergroup_0:1.0 1         1         0       3370.6    3370.6    3370.6        3370.6    
wikiflow::init_0:1.0             1         1         0       417.694   417.694   417.694       417.694   
wikiflow::longestsession_0:1.0   1         1         0       20.429    20.429    20.429        20.429    
wikiflow::sessioncompute_0:1.0   1         1         0       2479.487  2479.487  2479.487      2479.487  
wikiflow::terminate_0:1.0        1         1         0       0.65      0.65      0.65          0.65      
