
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 03d49f89-dbeb-4e6c-b984-6cf31141b8e1 (example_workflow)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     20        20        0       5.0       5.0       5.0           100.0     
pegasus::cleanup                 7         7         0       0.0       4.345     2.477         17.34     
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                8         8         0       2.228     2.634     2.389         19.115    
wikiflow::computeusergroup_0:1.0 1         1         0       3314.289  3314.289  3314.289      3314.289  
wikiflow::init_0:1.0             1         1         0       404.682   404.682   404.682       404.682   
wikiflow::longestsession_0:1.0   1         1         0       23.485    23.485    23.485        23.485    
wikiflow::sessioncompute_0:1.0   1         1         0       2528.577  2528.577  2528.577      2528.577  
wikiflow::terminate_0:1.0        1         1         0       0.663     0.663     0.663         0.663     


# All (All)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     20        20        0       5.0       5.0       5.0           100.0     
pegasus::cleanup                 7         7         0       0.0       4.345     2.477         17.34     
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                8         8         0       2.228     2.634     2.389         19.115    
wikiflow::computeusergroup_0:1.0 1         1         0       3314.289  3314.289  3314.289      3314.289  
wikiflow::init_0:1.0             1         1         0       404.682   404.682   404.682       404.682   
wikiflow::longestsession_0:1.0   1         1         0       23.485    23.485    23.485        23.485    
wikiflow::sessioncompute_0:1.0   1         1         0       2528.577  2528.577  2528.577      2528.577  
wikiflow::terminate_0:1.0        1         1         0       0.663     0.663     0.663         0.663     
