
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 2e8ab33f-e1b4-4506-a2e0-a3cc80c6d86d (example_workflow)
Transformation                   Count     Succeeded Failed  Min       Max       Mean      Total     
dagman::post                     20        20        0       5.0       5.0       5.0       100.0     
pegasus::cleanup                 7         7         0       0.0       4.309     2.479     17.353    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0       0.0       
pegasus::transfer                8         8         0       2.232     2.55      2.399     19.191    
wikiflow::computeusergroup_0:1.0 1         1         0       6034.891  6034.891  6034.891  6034.891  
wikiflow::init_0:1.0             1         1         0       419.765   419.765   419.765   419.765   
wikiflow::longestsession_0:1.0   1         1         0       22.849    22.849    22.849    22.849    
wikiflow::sessioncompute_0:1.0   1         1         0       2632.242  2632.242  2632.242  2632.242  
wikiflow::terminate_0:1.0        1         1         0       0.658     0.658     0.658     0.658     


# All (All)
Transformation                   Count     Succeeded Failed  Min       Max       Mean      Total     
dagman::post                     20        20        0       5.0       5.0       5.0       100.0     
pegasus::cleanup                 7         7         0       0.0       4.309     2.479     17.353    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0       0.0       
pegasus::transfer                8         8         0       2.232     2.55      2.399     19.191    
wikiflow::computeusergroup_0:1.0 1         1         0       6034.891  6034.891  6034.891  6034.891  
wikiflow::init_0:1.0             1         1         0       419.765   419.765   419.765   419.765   
wikiflow::longestsession_0:1.0   1         1         0       22.849    22.849    22.849    22.849    
wikiflow::sessioncompute_0:1.0   1         1         0       2632.242  2632.242  2632.242  2632.242  
wikiflow::terminate_0:1.0        1         1         0       0.658     0.658     0.658     0.658     
