
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 5f52ed77-ff9c-4fed-936d-257b039e24e2 (example_workflow)
Transformation                   Count     Succeeded Failed  Min       Max       Mean      Total     
dagman::post                     41        41        0       5.0       5.0       5.0       205.0     
pegasus::cleanup                 8         8         0       0.0       16.174    7.43      59.44     
pegasus::dirmanager              1         1         0       0.0       0.0       0.0       0.0       
pegasus::transfer                12        12        0       2.215     4.501     3.751     45.015    
wikiflow::computeusergroup_0:1.0 1         1         0       3282.665  3282.665  3282.665  3282.665  
wikiflow::init_0:1.0             1         1         0       388.635   388.635   388.635   388.635   
wikiflow::longestsession_0:1.0   1         1         0       3.15      3.15      3.15      3.15      
wikiflow::longestsession_1:1.0   1         1         0       3.905     3.905     3.905     3.905     
wikiflow::longestsession_2:1.0   1         1         0       4.154     4.154     4.154     4.154     
wikiflow::longestsession_3:1.0   1         1         0       4.146     4.146     4.146     4.146     
wikiflow::longestsession_4:1.0   1         1         0       4.272     4.272     4.272     4.272     
wikiflow::longestsession_5:1.0   1         1         0       6.217     6.217     6.217     6.217     
wikiflow::longestsession_6:1.0   1         1         0       5.928     5.928     5.928     5.928     
wikiflow::longestsession_7:1.0   1         1         0       5.869     5.869     5.869     5.869     
wikiflow::longestsession_8:1.0   1         1         0       6.149     6.149     6.149     6.149     
wikiflow::sessioncompute_0:1.0   1         1         0       33.739    33.739    33.739    33.739    
wikiflow::sessioncompute_1:1.0   1         1         0       30.239    30.239    30.239    30.239    
wikiflow::sessioncompute_2:1.0   1         1         0       35.76     35.76     35.76     35.76     
wikiflow::sessioncompute_3:1.0   1         1         0       43.814    43.814    43.814    43.814    
wikiflow::sessioncompute_4:1.0   1         1         0       33.72     33.72     33.72     33.72     
wikiflow::sessioncompute_5:1.0   1         1         0       21.737    21.737    21.737    21.737    
wikiflow::sessioncompute_6:1.0   1         1         0       37.771    37.771    37.771    37.771    
wikiflow::sessioncompute_7:1.0   1         1         0       61.376    61.376    61.376    61.376    
wikiflow::sessioncompute_8:1.0   1         1         0       51.755    51.755    51.755    51.755    
wikiflow::terminate_0:1.0        1         1         0       0.654     0.654     0.654     0.654     


# All (All)
Transformation                   Count     Succeeded Failed  Min       Max       Mean      Total     
dagman::post                     41        41        0       5.0       5.0       5.0       205.0     
pegasus::cleanup                 8         8         0       0.0       16.174    7.43      59.44     
pegasus::dirmanager              1         1         0       0.0       0.0       0.0       0.0       
pegasus::transfer                12        12        0       2.215     4.501     3.751     45.015    
wikiflow::computeusergroup_0:1.0 1         1         0       3282.665  3282.665  3282.665  3282.665  
wikiflow::init_0:1.0             1         1         0       388.635   388.635   388.635   388.635   
wikiflow::longestsession_0:1.0   1         1         0       3.15      3.15      3.15      3.15      
wikiflow::longestsession_1:1.0   1         1         0       3.905     3.905     3.905     3.905     
wikiflow::longestsession_2:1.0   1         1         0       4.154     4.154     4.154     4.154     
wikiflow::longestsession_3:1.0   1         1         0       4.146     4.146     4.146     4.146     
wikiflow::longestsession_4:1.0   1         1         0       4.272     4.272     4.272     4.272     
wikiflow::longestsession_5:1.0   1         1         0       6.217     6.217     6.217     6.217     
wikiflow::longestsession_6:1.0   1         1         0       5.928     5.928     5.928     5.928     
wikiflow::longestsession_7:1.0   1         1         0       5.869     5.869     5.869     5.869     
wikiflow::longestsession_8:1.0   1         1         0       6.149     6.149     6.149     6.149     
wikiflow::sessioncompute_0:1.0   1         1         0       33.739    33.739    33.739    33.739    
wikiflow::sessioncompute_1:1.0   1         1         0       30.239    30.239    30.239    30.239    
wikiflow::sessioncompute_2:1.0   1         1         0       35.76     35.76     35.76     35.76     
wikiflow::sessioncompute_3:1.0   1         1         0       43.814    43.814    43.814    43.814    
wikiflow::sessioncompute_4:1.0   1         1         0       33.72     33.72     33.72     33.72     
wikiflow::sessioncompute_5:1.0   1         1         0       21.737    21.737    21.737    21.737    
wikiflow::sessioncompute_6:1.0   1         1         0       37.771    37.771    37.771    37.771    
wikiflow::sessioncompute_7:1.0   1         1         0       61.376    61.376    61.376    61.376    
wikiflow::sessioncompute_8:1.0   1         1         0       51.755    51.755    51.755    51.755    
wikiflow::terminate_0:1.0        1         1         0       0.654     0.654     0.654     0.654     
