
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 7d93e2ae-ae9c-46db-9377-05befcf71bb9 (example_workflow)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname                                    
create_dir_example_workflow_0_local 1   local      0.0       1    0.0            -        5.0  5.0         -        0.0     -       -             0        None                                        
stage_in_local_local_0_0            1   local      2.249     1    2.249          0.142    5.0  0.0         -        6.0     -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
stage_in_local_local_4_0            1   local      2.467     1    2.467          0.127    5.0  6.0         -        0.0     -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
stage_in_local_local_1_0            1   local      2.489     1    2.489          0.151    5.0  6.0         -        0.0     -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
stage_in_local_local_2_0            1   local      4.575     1    4.575          0.208    6.0  6.0         -        5.0     -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
stage_in_local_local_2_1            1   local      4.367     1    4.367          0.111    6.0  6.0         -        5.0     -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
stage_in_remote_local_1_0           1   local      2.273     1    2.273          0.147    6.0  0.0         -        5.0     -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
stage_in_local_local_3_1            1   local      4.406     1    4.406          0.11     5.0  5.0         -        6.0     -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
stage_in_local_local_3_0            1   local      4.418     1    4.418          0.113    5.0  5.0         -        6.0     -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
stage_in_remote_local_3_1           1   local      4.69      1    4.69           0.208    5.0  5.0         -        6.0     -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
stage_in_remote_local_3_0           1   local      4.63      1    4.63           0.198    5.0  5.0         -        6.0     -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
init_0_ID0000001                    1   condorpool 381.168   1    381.168        0.923    5.0  5.0         -        385.0   -       -             0        ip-172-31-29-102.us-west-2.compute.internal 
clean_up_local_level_3_0            1   local      2.195     1    2.195          0.139    5.0  0.0         -        5.0     -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
computeusergroup_0_ID0000002        1   condorpool 3319.723  1    3319.723       345.833  6.0  5.0         -        3318.0  -       -             0        ip-172-31-29-102.us-west-2.compute.internal 
clean_up_local_level_4_0            1   local      4.287     1    4.287          0.137    5.0  0.0         -        6.0     -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
stage_out_local_local_1_0           1   local      4.508     1    4.508          0.211    5.0  6.0         -        5.0     -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
stage_out_local_local_1_1           1   local      4.338     1    4.338          0.127    5.0  6.0         -        5.0     -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
sessioncompute_0_ID0000003          1   condorpool 47.331    1    47.331         10.05    5.0  21.0        -        50.0    -       -             0        ip-172-31-29-102.us-west-2.compute.internal 
sessioncompute_5_ID0000008          1   condorpool 29.894    1    29.894         6.101    5.0  21.0        -        30.0    -       -             0        ip-172-31-29-105.us-west-2.compute.internal 
sessioncompute_6_ID0000009          1   condorpool 42.271    1    42.271         8.094    5.0  15.0        -        45.0    -       -             0        ip-172-31-29-109.us-west-2.compute.internal 
sessioncompute_1_ID0000004          1   condorpool 24.231    1    24.231         5.355    5.0  15.0        -        25.0    -       -             0        ip-172-31-29-108.us-west-2.compute.internal 
sessioncompute_3_ID0000006          1   condorpool 44.835    1    44.835         8.847    5.0  15.0        -        50.0    -       -             0        ip-172-31-29-106.us-west-2.compute.internal 
sessioncompute_7_ID0000010          1   condorpool 63.388    1    63.388         13.902   5.0  15.0        -        65.0    -       -             0        ip-172-31-29-103.us-west-2.compute.internal 
sessioncompute_8_ID0000011          1   condorpool 53.797    1    53.797         12.435   5.0  15.0        -        55.0    -       -             0        ip-172-31-29-104.us-west-2.compute.internal 
sessioncompute_2_ID0000005          1   condorpool 36.422    1    36.422         7.672    5.0  15.0        -        35.0    -       -             0        ip-172-31-29-101.us-west-2.compute.internal 
sessioncompute_4_ID0000007          1   condorpool 31.752    1    31.752         6.424    5.0  10.0        -        35.0    -       -             0        ip-172-31-29-107.us-west-2.compute.internal 
clean_up_local_level_5_1            1   local      10.201    1    10.201         0.119    6.0  5.0         -        11.0    -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
longestsession_3_ID0000015          1   condorpool 3.684     1    3.684          1.541    5.0  6.0         -        0.0     -       -             0        ip-172-31-29-103.us-west-2.compute.internal 
longestsession_1_ID0000013          1   condorpool 3.678     1    3.678          1.417    5.0  6.0         -        5.0     -       -             0        ip-172-31-29-103.us-west-2.compute.internal 
longestsession_6_ID0000018          1   condorpool 5.687     1    5.687          2.887    5.0  11.0        -        10.0    -       -             0        ip-172-31-29-103.us-west-2.compute.internal 
longestsession_2_ID0000014          1   condorpool 3.686     1    3.686          1.477    5.0  21.0        -        5.0     -       -             0        ip-172-31-29-103.us-west-2.compute.internal 
longestsession_8_ID0000020          1   condorpool 9.7       1    9.7            2.725    5.0  26.0        -        10.0    -       -             0        ip-172-31-29-103.us-west-2.compute.internal 
longestsession_7_ID0000019          1   condorpool 9.699     1    9.699          2.797    5.0  20.0        -        10.0    -       -             0        ip-172-31-29-102.us-west-2.compute.internal 
clean_up_local_level_5_0            1   local      14.31     1    14.31          0.204    5.0  5.0         -        15.0    -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
longestsession_0_ID0000012          1   condorpool 7.146     1    7.146          0.932    5.0  20.0        -        10.0    -       -             0        ip-172-31-29-105.us-west-2.compute.internal 
longestsession_5_ID0000017          1   condorpool 8.808     1    8.808          2.554    5.0  20.0        -        10.0    -       -             0        ip-172-31-29-109.us-west-2.compute.internal 
longestsession_4_ID0000016          1   condorpool 8.205     1    8.205          1.989    5.0  20.0        -        10.0    -       -             0        ip-172-31-29-108.us-west-2.compute.internal 
clean_up_local_level_6_1            1   local      16.23     1    16.23          0.165    5.0  0.0         -        20.0    -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
clean_up_local_level_6_0            1   local      10.177    1    10.177         0.152    5.0  10.0        -        10.0    -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
terminate_0_ID0000021               1   condorpool 0.65      1    0.65           0.246    5.0  5.0         -        0.0     -       -             0        ip-172-31-29-105.us-west-2.compute.internal 
clean_up_local_level_7_0            1   local      2.151     1    2.151          0.146    5.0  5.0         -        0.0     -       -             0        ip-172-31-29-196.us-west-1.compute.internal 
cleanup_example_workflow_0_local    1   local      0.0       1    0.0            -        -    5.0         -        0.0     -       -             0        None                                        
