
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 86ec8410-bb1d-420b-bd83-616601ed7379 (example_workflow)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     41        41        0       5.0       6.0       5.146         211.0     
pegasus::cleanup                 8         8         0       0.0       16.249    7.46          59.679    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                12        12        0       2.205     4.707     3.816         45.796    
wikiflow::computeusergroup_0:1.0 1         1         0       11659.104 11659.104 11659.104     11659.104 
wikiflow::init_0:1.0             1         1         0       401.191   401.191   401.191       401.191   
wikiflow::longestsession_0:1.0   1         1         0       6.281     6.281     6.281         6.281     
wikiflow::longestsession_1:1.0   1         1         0       4.661     4.661     4.661         4.661     
wikiflow::longestsession_2:1.0   1         1         0       4.133     4.133     4.133         4.133     
wikiflow::longestsession_3:1.0   1         1         0       4.354     4.354     4.354         4.354     
wikiflow::longestsession_4:1.0   1         1         0       8.152     8.152     8.152         8.152     
wikiflow::longestsession_5:1.0   1         1         0       8.748     8.748     8.748         8.748     
wikiflow::longestsession_6:1.0   1         1         0       6.715     6.715     6.715         6.715     
wikiflow::longestsession_7:1.0   1         1         0       9.678     9.678     9.678         9.678     
wikiflow::longestsession_8:1.0   1         1         0       10.041    10.041    10.041        10.041    
wikiflow::sessioncompute_0:1.0   1         1         0       747.687   747.687   747.687       747.687   
wikiflow::sessioncompute_1:1.0   1         1         0       503.606   503.606   503.606       503.606   
wikiflow::sessioncompute_2:1.0   1         1         0       607.447   607.447   607.447       607.447   
wikiflow::sessioncompute_3:1.0   1         1         0       682.002   682.002   682.002       682.002   
wikiflow::sessioncompute_4:1.0   1         1         0       562.928   562.928   562.928       562.928   
wikiflow::sessioncompute_5:1.0   1         1         0       604.627   604.627   604.627       604.627   
wikiflow::sessioncompute_6:1.0   1         1         0       697.869   697.869   697.869       697.869   
wikiflow::sessioncompute_7:1.0   1         1         0       840.681   840.681   840.681       840.681   
wikiflow::sessioncompute_8:1.0   1         1         0       879.406   879.406   879.406       879.406   
wikiflow::terminate_0:1.0        1         1         0       0.643     0.643     0.643         0.643     


# All (All)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     41        41        0       5.0       6.0       5.146         211.0     
pegasus::cleanup                 8         8         0       0.0       16.249    7.46          59.679    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                12        12        0       2.205     4.707     3.816         45.796    
wikiflow::computeusergroup_0:1.0 1         1         0       11659.104 11659.104 11659.104     11659.104 
wikiflow::init_0:1.0             1         1         0       401.191   401.191   401.191       401.191   
wikiflow::longestsession_0:1.0   1         1         0       6.281     6.281     6.281         6.281     
wikiflow::longestsession_1:1.0   1         1         0       4.661     4.661     4.661         4.661     
wikiflow::longestsession_2:1.0   1         1         0       4.133     4.133     4.133         4.133     
wikiflow::longestsession_3:1.0   1         1         0       4.354     4.354     4.354         4.354     
wikiflow::longestsession_4:1.0   1         1         0       8.152     8.152     8.152         8.152     
wikiflow::longestsession_5:1.0   1         1         0       8.748     8.748     8.748         8.748     
wikiflow::longestsession_6:1.0   1         1         0       6.715     6.715     6.715         6.715     
wikiflow::longestsession_7:1.0   1         1         0       9.678     9.678     9.678         9.678     
wikiflow::longestsession_8:1.0   1         1         0       10.041    10.041    10.041        10.041    
wikiflow::sessioncompute_0:1.0   1         1         0       747.687   747.687   747.687       747.687   
wikiflow::sessioncompute_1:1.0   1         1         0       503.606   503.606   503.606       503.606   
wikiflow::sessioncompute_2:1.0   1         1         0       607.447   607.447   607.447       607.447   
wikiflow::sessioncompute_3:1.0   1         1         0       682.002   682.002   682.002       682.002   
wikiflow::sessioncompute_4:1.0   1         1         0       562.928   562.928   562.928       562.928   
wikiflow::sessioncompute_5:1.0   1         1         0       604.627   604.627   604.627       604.627   
wikiflow::sessioncompute_6:1.0   1         1         0       697.869   697.869   697.869       697.869   
wikiflow::sessioncompute_7:1.0   1         1         0       840.681   840.681   840.681       840.681   
wikiflow::sessioncompute_8:1.0   1         1         0       879.406   879.406   879.406       879.406   
wikiflow::terminate_0:1.0        1         1         0       0.643     0.643     0.643         0.643     
