
# Job instance statistics per day:
#   the number of job instances run, total runtime sorted by day
# Invocation statistics per day:
#   the number of invocations , total runtime sorted by day
# Job instance statistics by host per day:
#   the number of job instance run, total runtime on each host sorted by day
# Invocation by host per day:
#   the number of invocations, total runtime on each host sorted by day

# Job instances statistics per day
Date[YYYY-MM-DD]              Count               Runtime (sec)       
2017-01-27                    14                  8744.0              
2017-01-28                    28                  6877.0              

# Invocation statistics run per day
Date[YYYY-MM-DD]              Count               Runtime (sec)       
2017-01-27                    27                  8805.193            
2017-01-28                    56                  7011.275            

# Job instances statistics on host per day
Date[YYYY-MM-DD]       Host                     Count     Runtime (sec)       
2017-01-27             ip-172-31-29-102.us-west-2.compute.internal2         8698.0              
2017-01-27             ip-172-31-29-196.us-west-1.compute.internal11        46.0                
2017-01-28             ip-172-31-29-101.us-west-2.compute.internal1         701.0               
2017-01-28             ip-172-31-29-102.us-west-2.compute.internal2         846.0               
2017-01-28             ip-172-31-29-103.us-west-2.compute.internal4         997.0               
2017-01-28             ip-172-31-29-104.us-west-2.compute.internal2         962.0               
2017-01-28             ip-172-31-29-105.us-west-2.compute.internal2         626.0               
2017-01-28             ip-172-31-29-106.us-west-2.compute.internal2         751.0               
2017-01-28             ip-172-31-29-107.us-west-2.compute.internal1         651.0               
2017-01-28             ip-172-31-29-108.us-west-2.compute.internal3         536.0               
2017-01-28             ip-172-31-29-109.us-west-2.compute.internal2         741.0               
2017-01-28             ip-172-31-29-196.us-west-1.compute.internal8         66.0                

# Invocation statistics on host per day
Date[YYYY-MM-DD]       Host                     Count     Runtime (sec)       
2017-01-27             ip-172-31-29-102.us-west-2.compute.internal3         8706.613            
2017-01-27             ip-172-31-29-196.us-west-1.compute.internal22        93.58               
2017-01-28             ip-172-31-29-101.us-west-2.compute.internal2         703.119             
2017-01-28             ip-172-31-29-102.us-west-2.compute.internal5         861.409             
2017-01-28             ip-172-31-29-103.us-west-2.compute.internal8         1017.324            
2017-01-28             ip-172-31-29-104.us-west-2.compute.internal4         972.268             
2017-01-28             ip-172-31-29-105.us-west-2.compute.internal4         634.324             
2017-01-28             ip-172-31-29-106.us-west-2.compute.internal4         762.256             
2017-01-28             ip-172-31-29-107.us-west-2.compute.internal2         653.528             
2017-01-28             ip-172-31-29-108.us-west-2.compute.internal6         548.921             
2017-01-28             ip-172-31-29-109.us-west-2.compute.internal4         751.35              
2017-01-28             ip-172-31-29-196.us-west-1.compute.internal16        106.776             
