
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 48a4535b-70cc-40f1-b472-a575124e0377 (example_workflow)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     41        41        0       5.0       6.0       5.024         206.0     
pegasus::cleanup                 8         8         0       0.0       16.297    7.445         59.558    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                12        12        0       2.253     4.504     3.746         44.948    
wikiflow::computeusergroup_0:1.0 1         1         0       3389.804  3389.804  3389.804      3389.804  
wikiflow::init_0:1.0             1         1         0       414.214   414.214   414.214       414.214   
wikiflow::longestsession_0:1.0   1         1         0       3.857     3.857     3.857         3.857     
wikiflow::longestsession_1:1.0   1         1         0       3.185     3.185     3.185         3.185     
wikiflow::longestsession_2:1.0   1         1         0       3.152     3.152     3.152         3.152     
wikiflow::longestsession_3:1.0   1         1         0       3.158     3.158     3.158         3.158     
wikiflow::longestsession_4:1.0   1         1         0       4.89      4.89      4.89          4.89      
wikiflow::longestsession_5:1.0   1         1         0       6.187     6.187     6.187         6.187     
wikiflow::longestsession_6:1.0   1         1         0       5.172     5.172     5.172         5.172     
wikiflow::longestsession_7:1.0   1         1         0       5.166     5.166     5.166         5.166     
wikiflow::longestsession_8:1.0   1         1         0       5.154     5.154     5.154         5.154     
wikiflow::sessioncompute_0:1.0   1         1         0       45.287    45.287    45.287        45.287    
wikiflow::sessioncompute_1:1.0   1         1         0       33.754    33.754    33.754        33.754    
wikiflow::sessioncompute_2:1.0   1         1         0       38.071    38.071    38.071        38.071    
wikiflow::sessioncompute_3:1.0   1         1         0       44.279    44.279    44.279        44.279    
wikiflow::sessioncompute_4:1.0   1         1         0       36.234    36.234    36.234        36.234    
wikiflow::sessioncompute_5:1.0   1         1         0       34.73     34.73     34.73         34.73     
wikiflow::sessioncompute_6:1.0   1         1         0       42.23     42.23     42.23         42.23     
wikiflow::sessioncompute_7:1.0   1         1         0       62.828    62.828    62.828        62.828    
wikiflow::sessioncompute_8:1.0   1         1         0       51.554    51.554    51.554        51.554    
wikiflow::terminate_0:1.0        1         1         0       0.66      0.66      0.66          0.66      


# All (All)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     41        41        0       5.0       6.0       5.024         206.0     
pegasus::cleanup                 8         8         0       0.0       16.297    7.445         59.558    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                12        12        0       2.253     4.504     3.746         44.948    
wikiflow::computeusergroup_0:1.0 1         1         0       3389.804  3389.804  3389.804      3389.804  
wikiflow::init_0:1.0             1         1         0       414.214   414.214   414.214       414.214   
wikiflow::longestsession_0:1.0   1         1         0       3.857     3.857     3.857         3.857     
wikiflow::longestsession_1:1.0   1         1         0       3.185     3.185     3.185         3.185     
wikiflow::longestsession_2:1.0   1         1         0       3.152     3.152     3.152         3.152     
wikiflow::longestsession_3:1.0   1         1         0       3.158     3.158     3.158         3.158     
wikiflow::longestsession_4:1.0   1         1         0       4.89      4.89      4.89          4.89      
wikiflow::longestsession_5:1.0   1         1         0       6.187     6.187     6.187         6.187     
wikiflow::longestsession_6:1.0   1         1         0       5.172     5.172     5.172         5.172     
wikiflow::longestsession_7:1.0   1         1         0       5.166     5.166     5.166         5.166     
wikiflow::longestsession_8:1.0   1         1         0       5.154     5.154     5.154         5.154     
wikiflow::sessioncompute_0:1.0   1         1         0       45.287    45.287    45.287        45.287    
wikiflow::sessioncompute_1:1.0   1         1         0       33.754    33.754    33.754        33.754    
wikiflow::sessioncompute_2:1.0   1         1         0       38.071    38.071    38.071        38.071    
wikiflow::sessioncompute_3:1.0   1         1         0       44.279    44.279    44.279        44.279    
wikiflow::sessioncompute_4:1.0   1         1         0       36.234    36.234    36.234        36.234    
wikiflow::sessioncompute_5:1.0   1         1         0       34.73     34.73     34.73         34.73     
wikiflow::sessioncompute_6:1.0   1         1         0       42.23     42.23     42.23         42.23     
wikiflow::sessioncompute_7:1.0   1         1         0       62.828    62.828    62.828        62.828    
wikiflow::sessioncompute_8:1.0   1         1         0       51.554    51.554    51.554        51.554    
wikiflow::terminate_0:1.0        1         1         0       0.66      0.66      0.66          0.66      
