
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 16f80fed-9c24-48a0-8b6b-043be3b628d4 (example_workflow)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     41        41        0       5.0       6.0       5.146         211.0     
pegasus::cleanup                 8         8         0       0.0       16.154    7.442         59.536    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                12        12        0       2.347     4.48      3.77          45.244    
wikiflow::computeusergroup_0:1.0 1         1         0       3408.497  3408.497  3408.497      3408.497  
wikiflow::init_0:1.0             1         1         0       409.675   409.675   409.675       409.675   
wikiflow::longestsession_0:1.0   1         1         0       2.64      2.64      2.64          2.64      
wikiflow::longestsession_1:1.0   1         1         0       3.401     3.401     3.401         3.401     
wikiflow::longestsession_2:1.0   1         1         0       3.648     3.648     3.648         3.648     
wikiflow::longestsession_3:1.0   1         1         0       3.139     3.139     3.139         3.139     
wikiflow::longestsession_4:1.0   1         1         0       4.205     4.205     4.205         4.205     
wikiflow::longestsession_5:1.0   1         1         0       5.395     5.395     5.395         5.395     
wikiflow::longestsession_6:1.0   1         1         0       5.69      5.69      5.69          5.69      
wikiflow::longestsession_7:1.0   1         1         0       5.721     5.721     5.721         5.721     
wikiflow::longestsession_8:1.0   1         1         0       5.693     5.693     5.693         5.693     
wikiflow::sessioncompute_0:1.0   1         1         0       44.283    44.283    44.283        44.283    
wikiflow::sessioncompute_1:1.0   1         1         0       33.788    33.788    33.788        33.788    
wikiflow::sessioncompute_2:1.0   1         1         0       37.529    37.529    37.529        37.529    
wikiflow::sessioncompute_3:1.0   1         1         0       43.35     43.35     43.35         43.35     
wikiflow::sessioncompute_4:1.0   1         1         0       35.574    35.574    35.574        35.574    
wikiflow::sessioncompute_5:1.0   1         1         0       34.229    34.229    34.229        34.229    
wikiflow::sessioncompute_6:1.0   1         1         0       41.312    41.312    41.312        41.312    
wikiflow::sessioncompute_7:1.0   1         1         0       62.327    62.327    62.327        62.327    
wikiflow::sessioncompute_8:1.0   1         1         0       52.803    52.803    52.803        52.803    
wikiflow::terminate_0:1.0        1         1         0       0.63      0.63      0.63          0.63      


# All (All)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     41        41        0       5.0       6.0       5.146         211.0     
pegasus::cleanup                 8         8         0       0.0       16.154    7.442         59.536    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                12        12        0       2.347     4.48      3.77          45.244    
wikiflow::computeusergroup_0:1.0 1         1         0       3408.497  3408.497  3408.497      3408.497  
wikiflow::init_0:1.0             1         1         0       409.675   409.675   409.675       409.675   
wikiflow::longestsession_0:1.0   1         1         0       2.64      2.64      2.64          2.64      
wikiflow::longestsession_1:1.0   1         1         0       3.401     3.401     3.401         3.401     
wikiflow::longestsession_2:1.0   1         1         0       3.648     3.648     3.648         3.648     
wikiflow::longestsession_3:1.0   1         1         0       3.139     3.139     3.139         3.139     
wikiflow::longestsession_4:1.0   1         1         0       4.205     4.205     4.205         4.205     
wikiflow::longestsession_5:1.0   1         1         0       5.395     5.395     5.395         5.395     
wikiflow::longestsession_6:1.0   1         1         0       5.69      5.69      5.69          5.69      
wikiflow::longestsession_7:1.0   1         1         0       5.721     5.721     5.721         5.721     
wikiflow::longestsession_8:1.0   1         1         0       5.693     5.693     5.693         5.693     
wikiflow::sessioncompute_0:1.0   1         1         0       44.283    44.283    44.283        44.283    
wikiflow::sessioncompute_1:1.0   1         1         0       33.788    33.788    33.788        33.788    
wikiflow::sessioncompute_2:1.0   1         1         0       37.529    37.529    37.529        37.529    
wikiflow::sessioncompute_3:1.0   1         1         0       43.35     43.35     43.35         43.35     
wikiflow::sessioncompute_4:1.0   1         1         0       35.574    35.574    35.574        35.574    
wikiflow::sessioncompute_5:1.0   1         1         0       34.229    34.229    34.229        34.229    
wikiflow::sessioncompute_6:1.0   1         1         0       41.312    41.312    41.312        41.312    
wikiflow::sessioncompute_7:1.0   1         1         0       62.327    62.327    62.327        62.327    
wikiflow::sessioncompute_8:1.0   1         1         0       52.803    52.803    52.803        52.803    
wikiflow::terminate_0:1.0        1         1         0       0.63      0.63      0.63          0.63      
