
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 35d6527b-765b-4e94-8e11-090d802f42de (example_workflow)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     41        41        0       5.0       6.0       5.049         207.0     
pegasus::cleanup                 8         8         0       0.0       16.157    7.466         59.726    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                12        12        0       2.232     4.732     3.824         45.884    
wikiflow::computeusergroup_0:1.0 1         1         0       3324.501  3324.501  3324.501      3324.501  
wikiflow::init_0:1.0             1         1         0       371.162   371.162   371.162       371.162   
wikiflow::longestsession_0:1.0   1         1         0       6.679     6.679     6.679         6.679     
wikiflow::longestsession_1:1.0   1         1         0       3.934     3.934     3.934         3.934     
wikiflow::longestsession_2:1.0   1         1         0       7.181     7.181     7.181         7.181     
wikiflow::longestsession_3:1.0   1         1         0       3.8       3.8       3.8           3.8       
wikiflow::longestsession_4:1.0   1         1         0       4.167     4.167     4.167         4.167     
wikiflow::longestsession_5:1.0   1         1         0       9.691     9.691     9.691         9.691     
wikiflow::longestsession_6:1.0   1         1         0       10.188    10.188    10.188        10.188    
wikiflow::longestsession_7:1.0   1         1         0       10.815    10.815    10.815        10.815    
wikiflow::longestsession_8:1.0   1         1         0       10.166    10.166    10.166        10.166    
wikiflow::sessioncompute_0:1.0   1         1         0       43.31     43.31     43.31         43.31     
wikiflow::sessioncompute_1:1.0   1         1         0       28.273    28.273    28.273        28.273    
wikiflow::sessioncompute_2:1.0   1         1         0       31.353    31.353    31.353        31.353    
wikiflow::sessioncompute_3:1.0   1         1         0       44.255    44.255    44.255        44.255    
wikiflow::sessioncompute_4:1.0   1         1         0       31.22     31.22     31.22         31.22     
wikiflow::sessioncompute_5:1.0   1         1         0       30.747    30.747    30.747        30.747    
wikiflow::sessioncompute_6:1.0   1         1         0       37.816    37.816    37.816        37.816    
wikiflow::sessioncompute_7:1.0   1         1         0       58.681    58.681    58.681        58.681    
wikiflow::sessioncompute_8:1.0   1         1         0       51.885    51.885    51.885        51.885    
wikiflow::terminate_0:1.0        1         1         0       0.62      0.62      0.62          0.62      


# All (All)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     41        41        0       5.0       6.0       5.049         207.0     
pegasus::cleanup                 8         8         0       0.0       16.157    7.466         59.726    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                12        12        0       2.232     4.732     3.824         45.884    
wikiflow::computeusergroup_0:1.0 1         1         0       3324.501  3324.501  3324.501      3324.501  
wikiflow::init_0:1.0             1         1         0       371.162   371.162   371.162       371.162   
wikiflow::longestsession_0:1.0   1         1         0       6.679     6.679     6.679         6.679     
wikiflow::longestsession_1:1.0   1         1         0       3.934     3.934     3.934         3.934     
wikiflow::longestsession_2:1.0   1         1         0       7.181     7.181     7.181         7.181     
wikiflow::longestsession_3:1.0   1         1         0       3.8       3.8       3.8           3.8       
wikiflow::longestsession_4:1.0   1         1         0       4.167     4.167     4.167         4.167     
wikiflow::longestsession_5:1.0   1         1         0       9.691     9.691     9.691         9.691     
wikiflow::longestsession_6:1.0   1         1         0       10.188    10.188    10.188        10.188    
wikiflow::longestsession_7:1.0   1         1         0       10.815    10.815    10.815        10.815    
wikiflow::longestsession_8:1.0   1         1         0       10.166    10.166    10.166        10.166    
wikiflow::sessioncompute_0:1.0   1         1         0       43.31     43.31     43.31         43.31     
wikiflow::sessioncompute_1:1.0   1         1         0       28.273    28.273    28.273        28.273    
wikiflow::sessioncompute_2:1.0   1         1         0       31.353    31.353    31.353        31.353    
wikiflow::sessioncompute_3:1.0   1         1         0       44.255    44.255    44.255        44.255    
wikiflow::sessioncompute_4:1.0   1         1         0       31.22     31.22     31.22         31.22     
wikiflow::sessioncompute_5:1.0   1         1         0       30.747    30.747    30.747        30.747    
wikiflow::sessioncompute_6:1.0   1         1         0       37.816    37.816    37.816        37.816    
wikiflow::sessioncompute_7:1.0   1         1         0       58.681    58.681    58.681        58.681    
wikiflow::sessioncompute_8:1.0   1         1         0       51.885    51.885    51.885        51.885    
wikiflow::terminate_0:1.0        1         1         0       0.62      0.62      0.62          0.62      
