
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# d73f4696-8780-4fee-aeb6-a5ae0f064de1 (example_workflow)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     41        41        0       5.0       6.0       5.098         209.0     
pegasus::cleanup                 8         8         0       0.0       16.293    7.472         59.773    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                12        12        0       2.235     4.566     3.749         44.991    
wikiflow::computeusergroup_0:1.0 1         1         0       3598.148  3598.148  3598.148      3598.148  
wikiflow::init_0:1.0             1         1         0       381.714   381.714   381.714       381.714   
wikiflow::longestsession_0:1.0   1         1         0       6.379     6.379     6.379         6.379     
wikiflow::longestsession_1:1.0   1         1         0       3.7       3.7       3.7           3.7       
wikiflow::longestsession_2:1.0   1         1         0       3.138     3.138     3.138         3.138     
wikiflow::longestsession_3:1.0   1         1         0       3.459     3.459     3.459         3.459     
wikiflow::longestsession_4:1.0   1         1         0       7.681     7.681     7.681         7.681     
wikiflow::longestsession_5:1.0   1         1         0       8.521     8.521     8.521         8.521     
wikiflow::longestsession_6:1.0   1         1         0       5.184     5.184     5.184         5.184     
wikiflow::longestsession_7:1.0   1         1         0       9.2       9.2       9.2           9.2       
wikiflow::longestsession_8:1.0   1         1         0       9.151     9.151     9.151         9.151     
wikiflow::sessioncompute_0:1.0   1         1         0       298.144   298.144   298.144       298.144   
wikiflow::sessioncompute_1:1.0   1         1         0       143.357   143.357   143.357       143.357   
wikiflow::sessioncompute_2:1.0   1         1         0       237.212   237.212   237.212       237.212   
wikiflow::sessioncompute_3:1.0   1         1         0       266.172   266.172   266.172       266.172   
wikiflow::sessioncompute_4:1.0   1         1         0       210.472   210.472   210.472       210.472   
wikiflow::sessioncompute_5:1.0   1         1         0       196.945   196.945   196.945       196.945   
wikiflow::sessioncompute_6:1.0   1         1         0       292.895   292.895   292.895       292.895   
wikiflow::sessioncompute_7:1.0   1         1         0       346.276   346.276   346.276       346.276   
wikiflow::sessioncompute_8:1.0   1         1         0       332.727   332.727   332.727       332.727   
wikiflow::terminate_0:1.0        1         1         0       0.644     0.644     0.644         0.644     


# All (All)
Transformation                   Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                     41        41        0       5.0       6.0       5.098         209.0     
pegasus::cleanup                 8         8         0       0.0       16.293    7.472         59.773    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                12        12        0       2.235     4.566     3.749         44.991    
wikiflow::computeusergroup_0:1.0 1         1         0       3598.148  3598.148  3598.148      3598.148  
wikiflow::init_0:1.0             1         1         0       381.714   381.714   381.714       381.714   
wikiflow::longestsession_0:1.0   1         1         0       6.379     6.379     6.379         6.379     
wikiflow::longestsession_1:1.0   1         1         0       3.7       3.7       3.7           3.7       
wikiflow::longestsession_2:1.0   1         1         0       3.138     3.138     3.138         3.138     
wikiflow::longestsession_3:1.0   1         1         0       3.459     3.459     3.459         3.459     
wikiflow::longestsession_4:1.0   1         1         0       7.681     7.681     7.681         7.681     
wikiflow::longestsession_5:1.0   1         1         0       8.521     8.521     8.521         8.521     
wikiflow::longestsession_6:1.0   1         1         0       5.184     5.184     5.184         5.184     
wikiflow::longestsession_7:1.0   1         1         0       9.2       9.2       9.2           9.2       
wikiflow::longestsession_8:1.0   1         1         0       9.151     9.151     9.151         9.151     
wikiflow::sessioncompute_0:1.0   1         1         0       298.144   298.144   298.144       298.144   
wikiflow::sessioncompute_1:1.0   1         1         0       143.357   143.357   143.357       143.357   
wikiflow::sessioncompute_2:1.0   1         1         0       237.212   237.212   237.212       237.212   
wikiflow::sessioncompute_3:1.0   1         1         0       266.172   266.172   266.172       266.172   
wikiflow::sessioncompute_4:1.0   1         1         0       210.472   210.472   210.472       210.472   
wikiflow::sessioncompute_5:1.0   1         1         0       196.945   196.945   196.945       196.945   
wikiflow::sessioncompute_6:1.0   1         1         0       292.895   292.895   292.895       292.895   
wikiflow::sessioncompute_7:1.0   1         1         0       346.276   346.276   346.276       346.276   
wikiflow::sessioncompute_8:1.0   1         1         0       332.727   332.727   332.727       332.727   
wikiflow::terminate_0:1.0        1         1         0       0.644     0.644     0.644         0.644     
