
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# ef368a33-7022-4de7-be50-436a641312d4 (example_workflow)
Transformation                   Count     Succeeded Failed  Min       Max       Mean         Total     
dagman::post                     41        41        0       5.0       6.0       5.024        206.0     
pegasus::cleanup                 8         8         0       0.0       16.335    7.442        59.534    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0          0.0       
pegasus::transfer                12        12        0       2.286     4.479     3.73         44.76     
wikiflow::computeusergroup_0:1.0 1         1         0       12037.497 12037.497 12037.497    12037.497 
wikiflow::init_0:1.0             1         1         0       392.64    392.64    392.64       392.64    
wikiflow::longestsession_0:1.0   1         1         0       2.679     2.679     2.679        2.679     
wikiflow::longestsession_1:1.0   1         1         0       4.676     4.676     4.676        4.676     
wikiflow::longestsession_2:1.0   1         1         0       3.834     3.834     3.834        3.834     
wikiflow::longestsession_3:1.0   1         1         0       4.213     4.213     4.213        4.213     
wikiflow::longestsession_4:1.0   1         1         0       4.343     4.343     4.343        4.343     
wikiflow::longestsession_5:1.0   1         1         0       5.679     5.679     5.679        5.679     
wikiflow::longestsession_6:1.0   1         1         0       5.789     5.789     5.789        5.789     
wikiflow::longestsession_7:1.0   1         1         0       5.737     5.737     5.737        5.737     
wikiflow::longestsession_8:1.0   1         1         0       5.666     5.666     5.666        5.666     
wikiflow::sessioncompute_0:1.0   1         1         0       754.2     754.2     754.2        754.2     
wikiflow::sessioncompute_1:1.0   1         1         0       502.183   502.183   502.183      502.183   
wikiflow::sessioncompute_2:1.0   1         1         0       654.048   654.048   654.048      654.048   
wikiflow::sessioncompute_3:1.0   1         1         0       681.998   681.998   681.998      681.998   
wikiflow::sessioncompute_4:1.0   1         1         0       597.962   597.962   597.962      597.962   
wikiflow::sessioncompute_5:1.0   1         1         0       575.915   575.915   575.915      575.915   
wikiflow::sessioncompute_6:1.0   1         1         0       669.965   669.965   669.965      669.965   
wikiflow::sessioncompute_7:1.0   1         1         0       920.007   920.007   920.007      920.007   
wikiflow::sessioncompute_8:1.0   1         1         0       886.816   886.816   886.816      886.816   
wikiflow::terminate_0:1.0        1         1         0       0.657     0.657     0.657        0.657     


# All (All)
Transformation                   Count     Succeeded Failed  Min       Max       Mean         Total     
dagman::post                     41        41        0       5.0       6.0       5.024        206.0     
pegasus::cleanup                 8         8         0       0.0       16.335    7.442        59.534    
pegasus::dirmanager              1         1         0       0.0       0.0       0.0          0.0       
pegasus::transfer                12        12        0       2.286     4.479     3.73         44.76     
wikiflow::computeusergroup_0:1.0 1         1         0       12037.497 12037.497 12037.497    12037.497 
wikiflow::init_0:1.0             1         1         0       392.64    392.64    392.64       392.64    
wikiflow::longestsession_0:1.0   1         1         0       2.679     2.679     2.679        2.679     
wikiflow::longestsession_1:1.0   1         1         0       4.676     4.676     4.676        4.676     
wikiflow::longestsession_2:1.0   1         1         0       3.834     3.834     3.834        3.834     
wikiflow::longestsession_3:1.0   1         1         0       4.213     4.213     4.213        4.213     
wikiflow::longestsession_4:1.0   1         1         0       4.343     4.343     4.343        4.343     
wikiflow::longestsession_5:1.0   1         1         0       5.679     5.679     5.679        5.679     
wikiflow::longestsession_6:1.0   1         1         0       5.789     5.789     5.789        5.789     
wikiflow::longestsession_7:1.0   1         1         0       5.737     5.737     5.737        5.737     
wikiflow::longestsession_8:1.0   1         1         0       5.666     5.666     5.666        5.666     
wikiflow::sessioncompute_0:1.0   1         1         0       754.2     754.2     754.2        754.2     
wikiflow::sessioncompute_1:1.0   1         1         0       502.183   502.183   502.183      502.183   
wikiflow::sessioncompute_2:1.0   1         1         0       654.048   654.048   654.048      654.048   
wikiflow::sessioncompute_3:1.0   1         1         0       681.998   681.998   681.998      681.998   
wikiflow::sessioncompute_4:1.0   1         1         0       597.962   597.962   597.962      597.962   
wikiflow::sessioncompute_5:1.0   1         1         0       575.915   575.915   575.915      575.915   
wikiflow::sessioncompute_6:1.0   1         1         0       669.965   669.965   669.965      669.965   
wikiflow::sessioncompute_7:1.0   1         1         0       920.007   920.007   920.007      920.007   
wikiflow::sessioncompute_8:1.0   1         1         0       886.816   886.816   886.816      886.816   
wikiflow::terminate_0:1.0        1         1         0       0.657     0.657     0.657        0.657     
