1461781311 INTERNAL *** MONITORD_STARTED ***
1461781310 INTERNAL *** DAGMAN_STARTED 1455.0 ***
1461781314 create_dir_example_workflow_0_local SUBMIT 1456.0 local - 1
1461781314 stage_worker_local_example_workflow_0_local SUBMIT 1457.0 local - 2
1461781319 stage_worker_local_example_workflow_0_local EXECUTE 1457.0 local - 2
1461781319 create_dir_example_workflow_0_local EXECUTE 1456.0 local - 1
1461781319 stage_worker_local_example_workflow_0_local JOB_TERMINATED 1457.0 local - 2
1461781319 stage_worker_local_example_workflow_0_local JOB_SUCCESS 0 local - 2
1461781319 create_dir_example_workflow_0_local JOB_TERMINATED 1456.0 local - 1
1461781319 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1461781319 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 1456.0 local - 1
1461781324 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 1456.0 local - 1
1461781324 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1461781330 stage_in_local_local_0_1 SUBMIT 1458.0 local - 3
1461781330 stage_in_local_local_0_1 EXECUTE 1458.0 local - 3
1461781330 stage_in_local_local_0_0 SUBMIT 1459.0 local - 4
1461781330 stage_in_remote_local_0_1 SUBMIT 1460.0 local - 5
1461781330 stage_in_remote_local_0_0 SUBMIT 1461.0 local - 6
1461781335 stage_in_local_local_0_1 JOB_TERMINATED 1458.0 local - 3
1461781335 stage_in_local_local_0_1 JOB_SUCCESS 0 local - 3
1461781335 stage_in_local_local_0_1 POST_SCRIPT_STARTED 1458.0 local - 3
1461781335 stage_in_remote_local_0_1 EXECUTE 1460.0 local - 5
1461781335 stage_in_local_local_0_0 EXECUTE 1459.0 local - 4
1461781335 stage_in_remote_local_0_0 EXECUTE 1461.0 local - 6
1461781340 stage_in_local_local_0_1 POST_SCRIPT_TERMINATED 1458.0 local - 3
1461781340 stage_in_local_local_0_1 POST_SCRIPT_SUCCESS 0 local - 3
1461781340 stage_in_local_local_0_0 JOB_TERMINATED 1459.0 local - 4
1461781340 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 4
1461781340 stage_in_local_local_0_0 POST_SCRIPT_STARTED 1459.0 local - 4
1461781340 stage_in_remote_local_0_1 JOB_TERMINATED 1460.0 local - 5
1461781340 stage_in_remote_local_0_1 JOB_SUCCESS 0 local - 5
1461781340 stage_in_remote_local_0_1 POST_SCRIPT_STARTED 1460.0 local - 5
1461781340 stage_in_remote_local_0_0 JOB_TERMINATED 1461.0 local - 6
1461781340 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 6
1461781340 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 1461.0 local - 6
1461781345 stage_in_remote_local_0_1 POST_SCRIPT_TERMINATED 1460.0 local - 5
1461781345 stage_in_remote_local_0_1 POST_SCRIPT_SUCCESS 0 local - 5
1461781345 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 1459.0 local - 4
1461781345 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1461781345 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 1461.0 local - 6
1461781345 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 6
1461781350 import_1_ID0000002 SUBMIT 1462.0 condorpool - 7
1461781350 import_6_ID0000007 SUBMIT 1463.0 condorpool - 8
1461781350 import_7_ID0000008 SUBMIT 1464.0 condorpool - 9
1461781350 import_0_ID0000001 SUBMIT 1465.0 condorpool - 10
1461781350 import_4_ID0000005 SUBMIT 1466.0 condorpool - 11
1461781355 import_6_ID0000007 EXECUTE 1463.0 condorpool - 8
1461781355 import_1_ID0000002 EXECUTE 1462.0 condorpool - 7
1461781355 import_4_ID0000005 EXECUTE 1466.0 condorpool - 11
1461781355 import_7_ID0000008 EXECUTE 1464.0 condorpool - 9
1461781355 import_0_ID0000001 EXECUTE 1465.0 condorpool - 10
1461781355 import_8_ID0000009 SUBMIT 1467.0 condorpool - 12
1461781355 import_5_ID0000006 SUBMIT 1468.0 condorpool - 13
1461781355 import_3_ID0000004 SUBMIT 1469.0 condorpool - 14
1461781355 import_2_ID0000003 SUBMIT 1470.0 condorpool - 15
1461781355 import_9_ID0000010 SUBMIT 1471.0 condorpool - 16
1461781375 import_2_ID0000003 EXECUTE 1470.0 condorpool - 15
1461781375 import_3_ID0000004 EXECUTE 1469.0 condorpool - 14
1461781375 import_8_ID0000009 EXECUTE 1467.0 condorpool - 12
1461781375 import_5_ID0000006 EXECUTE 1468.0 condorpool - 13
1461781375 import_9_ID0000010 EXECUTE 1471.0 condorpool - 16
1461782096 import_6_ID0000007 JOB_TERMINATED 1463.0 condorpool - 8
1461782096 import_6_ID0000007 JOB_SUCCESS 0 condorpool - 8
1461782096 import_6_ID0000007 POST_SCRIPT_STARTED 1463.0 condorpool - 8
1461782101 import_6_ID0000007 POST_SCRIPT_TERMINATED 1463.0 condorpool - 8
1461782101 import_6_ID0000007 POST_SCRIPT_SUCCESS 0 condorpool - 8
1461782101 import_1_ID0000002 JOB_TERMINATED 1462.0 condorpool - 7
1461782101 import_1_ID0000002 JOB_SUCCESS 0 condorpool - 7
1461782101 import_1_ID0000002 POST_SCRIPT_STARTED 1462.0 condorpool - 7
1461782106 import_1_ID0000002 POST_SCRIPT_TERMINATED 1462.0 condorpool - 7
1461782106 import_1_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 7
1461782111 import_7_ID0000008 JOB_TERMINATED 1464.0 condorpool - 9
1461782111 import_7_ID0000008 JOB_SUCCESS 0 condorpool - 9
1461782111 import_7_ID0000008 POST_SCRIPT_STARTED 1464.0 condorpool - 9
1461782111 import_4_ID0000005 JOB_TERMINATED 1466.0 condorpool - 11
1461782111 import_4_ID0000005 JOB_SUCCESS 0 condorpool - 11
1461782111 import_4_ID0000005 POST_SCRIPT_STARTED 1466.0 condorpool - 11
1461782116 import_7_ID0000008 POST_SCRIPT_TERMINATED 1464.0 condorpool - 9
1461782116 import_7_ID0000008 POST_SCRIPT_SUCCESS 0 condorpool - 9
1461782116 import_4_ID0000005 POST_SCRIPT_TERMINATED 1466.0 condorpool - 11
1461782116 import_4_ID0000005 POST_SCRIPT_SUCCESS 0 condorpool - 11
1461782121 import_0_ID0000001 JOB_TERMINATED 1465.0 condorpool - 10
1461782121 import_0_ID0000001 JOB_SUCCESS 0 condorpool - 10
1461782121 import_0_ID0000001 POST_SCRIPT_STARTED 1465.0 condorpool - 10
1461782126 import_0_ID0000001 POST_SCRIPT_TERMINATED 1465.0 condorpool - 10
1461782126 import_0_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 10
1461782126 import_3_ID0000004 JOB_TERMINATED 1469.0 condorpool - 14
1461782126 import_3_ID0000004 JOB_SUCCESS 0 condorpool - 14
1461782126 import_3_ID0000004 POST_SCRIPT_STARTED 1469.0 condorpool - 14
