1463443597 INTERNAL *** MONITORD_STARTED ***
1463443596 INTERNAL *** DAGMAN_STARTED 3105.0 ***
1463443600 create_dir_example_workflow_0_local SUBMIT 3106.0 local - 1
1463443600 stage_worker_local_example_workflow_0_local SUBMIT 3107.0 local - 2
1463443605 create_dir_example_workflow_0_local EXECUTE 3106.0 local - 1
1463443605 stage_worker_local_example_workflow_0_local EXECUTE 3107.0 local - 2
1463443605 create_dir_example_workflow_0_local JOB_TERMINATED 3106.0 local - 1
1463443605 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1463443605 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 3106.0 local - 1
1463443605 stage_worker_local_example_workflow_0_local JOB_TERMINATED 3107.0 local - 2
1463443605 stage_worker_local_example_workflow_0_local JOB_SUCCESS 0 local - 2
1463443610 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 3106.0 local - 1
1463443610 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1463443616 stage_in_local_local_0_0 SUBMIT 3108.0 local - 3
1463443616 stage_in_local_local_0_0 EXECUTE 3108.0 local - 3
1463443616 stage_in_remote_local_2_1 SUBMIT 3109.0 local - 4
1463443616 stage_in_local_local_1_1 SUBMIT 3110.0 local - 5
1463443616 stage_in_local_local_4_0 SUBMIT 3111.0 local - 6
1463443616 stage_in_local_local_1_0 SUBMIT 3112.0 local - 7
1463443621 stage_in_local_local_0_0 JOB_TERMINATED 3108.0 local - 3
1463443621 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 3
1463443621 stage_in_local_local_0_0 POST_SCRIPT_STARTED 3108.0 local - 3
1463443621 stage_in_remote_local_2_1 EXECUTE 3109.0 local - 4
1463443621 stage_in_local_local_1_0 EXECUTE 3112.0 local - 7
1463443621 stage_in_local_local_4_0 EXECUTE 3111.0 local - 6
1463443621 stage_in_local_local_1_1 EXECUTE 3110.0 local - 5
1463443621 stage_in_local_local_4_0 JOB_TERMINATED 3111.0 local - 6
1463443621 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 6
1463443621 stage_in_local_local_4_0 POST_SCRIPT_STARTED 3111.0 local - 6
1463443621 stage_in_local_local_1_1 JOB_TERMINATED 3110.0 local - 5
1463443621 stage_in_local_local_1_1 JOB_SUCCESS 0 local - 5
1463443621 stage_in_local_local_1_1 POST_SCRIPT_STARTED 3110.0 local - 5
1463443621 stage_in_local_local_2_0 SUBMIT 3113.0 local - 8
1463443621 stage_in_local_local_2_1 SUBMIT 3114.0 local - 9
1463443621 stage_in_remote_local_1_1 SUBMIT 3115.0 local - 10
1463443621 stage_in_remote_local_4_0 SUBMIT 3116.0 local - 11
1463443621 stage_in_local_local_3_1 SUBMIT 3117.0 local - 12
1463443626 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 3111.0 local - 6
1463443626 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 6
1463443626 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 3108.0 local - 3
1463443626 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1463443626 stage_in_local_local_1_1 POST_SCRIPT_TERMINATED 3110.0 local - 5
1463443626 stage_in_local_local_1_1 POST_SCRIPT_SUCCESS 0 local - 5
1463443626 stage_in_remote_local_2_1 JOB_TERMINATED 3109.0 local - 4
1463443626 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 4
1463443626 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 3109.0 local - 4
1463443626 stage_in_local_local_1_0 JOB_TERMINATED 3112.0 local - 7
1463443626 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 7
1463443626 stage_in_local_local_1_0 POST_SCRIPT_STARTED 3112.0 local - 7
1463443626 stage_in_remote_local_1_1 EXECUTE 3115.0 local - 10
1463443626 stage_in_local_local_2_1 EXECUTE 3114.0 local - 9
1463443626 stage_in_local_local_3_1 EXECUTE 3117.0 local - 12
1463443626 stage_in_local_local_2_0 EXECUTE 3113.0 local - 8
1463443626 stage_in_remote_local_4_0 EXECUTE 3116.0 local - 11
1463443626 stage_in_remote_local_1_1 JOB_TERMINATED 3115.0 local - 10
1463443626 stage_in_remote_local_1_1 JOB_SUCCESS 0 local - 10
1463443626 stage_in_remote_local_1_1 POST_SCRIPT_STARTED 3115.0 local - 10
1463443626 stage_in_local_local_2_1 JOB_TERMINATED 3114.0 local - 9
1463443626 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 9
1463443626 stage_in_local_local_2_1 POST_SCRIPT_STARTED 3114.0 local - 9
1463443626 stage_in_local_local_3_1 JOB_TERMINATED 3117.0 local - 12
1463443626 stage_in_local_local_3_1 JOB_SUCCESS 0 local - 12
1463443626 stage_in_local_local_3_1 POST_SCRIPT_STARTED 3117.0 local - 12
1463443626 stage_in_remote_local_4_0 JOB_TERMINATED 3116.0 local - 11
1463443626 stage_in_remote_local_4_0 JOB_SUCCESS 0 local - 11
1463443626 stage_in_remote_local_4_0 POST_SCRIPT_STARTED 3116.0 local - 11
1463443626 stage_in_remote_local_1_0 SUBMIT 3118.0 local - 13
1463443626 stage_in_local_local_3_0 SUBMIT 3119.0 local - 14
1463443626 stage_in_remote_local_2_0 SUBMIT 3120.0 local - 15
1463443626 stage_in_remote_local_3_1 SUBMIT 3121.0 local - 16
1463443626 stage_in_remote_local_3_0 SUBMIT 3122.0 local - 17
1463443631 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 3109.0 local - 4
1463443631 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 4
1463443631 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 3112.0 local - 7
1463443631 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 7
1463443631 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 3114.0 local - 9
1463443631 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 9
1463443631 stage_in_remote_local_1_1 POST_SCRIPT_TERMINATED 3115.0 local - 10
1463443631 stage_in_remote_local_1_1 POST_SCRIPT_SUCCESS 0 local - 10
1463443631 stage_in_local_local_3_1 POST_SCRIPT_TERMINATED 3117.0 local - 12
1463443631 stage_in_local_local_3_1 POST_SCRIPT_SUCCESS 0 local - 12
1463443631 stage_in_remote_local_4_0 POST_SCRIPT_TERMINATED 3116.0 local - 11
1463443631 stage_in_remote_local_4_0 POST_SCRIPT_SUCCESS 0 local - 11
1463443631 stage_in_local_local_2_0 JOB_TERMINATED 3113.0 local - 8
1463443631 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 8
1463443631 stage_in_local_local_2_0 POST_SCRIPT_STARTED 3113.0 local - 8
1463443631 stage_in_remote_local_1_0 EXECUTE 3118.0 local - 13
