1463968551 INTERNAL *** MONITORD_STARTED ***
1463968550 INTERNAL *** DAGMAN_STARTED 4443.0 ***
1463968554 create_dir_example_workflow_0_local SUBMIT 4444.0 local - 1
1463968554 stage_worker_local_example_workflow_0_local SUBMIT 4445.0 local - 2
1463968559 create_dir_example_workflow_0_local EXECUTE 4444.0 local - 1
1463968559 stage_worker_local_example_workflow_0_local EXECUTE 4445.0 local - 2
1463968559 stage_worker_local_example_workflow_0_local JOB_TERMINATED 4445.0 local - 2
1463968559 stage_worker_local_example_workflow_0_local JOB_SUCCESS 0 local - 2
1463968559 create_dir_example_workflow_0_local JOB_TERMINATED 4444.0 local - 1
1463968559 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1463968559 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 4444.0 local - 1
1463968564 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 4444.0 local - 1
1463968564 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1463968570 stage_in_local_local_0_0 SUBMIT 4446.0 local - 3
1463968570 stage_in_local_local_0_0 EXECUTE 4446.0 local - 3
1463968570 stage_in_remote_local_2_1 SUBMIT 4447.0 local - 4
1463968570 stage_in_local_local_1_1 SUBMIT 4448.0 local - 5
1463968570 stage_in_local_local_4_0 SUBMIT 4449.0 local - 6
1463968570 stage_in_local_local_1_0 SUBMIT 4450.0 local - 7
1463968575 stage_in_local_local_0_0 JOB_TERMINATED 4446.0 local - 3
1463968575 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 3
1463968575 stage_in_local_local_0_0 POST_SCRIPT_STARTED 4446.0 local - 3
1463968575 stage_in_local_local_1_1 EXECUTE 4448.0 local - 5
1463968575 stage_in_local_local_4_0 EXECUTE 4449.0 local - 6
1463968575 stage_in_local_local_1_0 EXECUTE 4450.0 local - 7
1463968575 stage_in_remote_local_2_1 EXECUTE 4447.0 local - 4
1463968575 stage_in_local_local_1_1 JOB_TERMINATED 4448.0 local - 5
1463968575 stage_in_local_local_1_1 JOB_SUCCESS 0 local - 5
1463968575 stage_in_local_local_1_1 POST_SCRIPT_STARTED 4448.0 local - 5
1463968575 stage_in_local_local_4_0 JOB_TERMINATED 4449.0 local - 6
1463968575 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 6
1463968575 stage_in_local_local_4_0 POST_SCRIPT_STARTED 4449.0 local - 6
1463968575 stage_in_local_local_2_0 SUBMIT 4451.0 local - 8
1463968575 stage_in_local_local_2_1 SUBMIT 4452.0 local - 9
1463968575 stage_in_remote_local_1_1 SUBMIT 4453.0 local - 10
1463968575 stage_in_remote_local_4_0 SUBMIT 4454.0 local - 11
1463968575 stage_in_remote_local_1_0 SUBMIT 4455.0 local - 12
1463968580 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 4446.0 local - 3
1463968580 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1463968580 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 4449.0 local - 6
1463968580 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 6
1463968580 stage_in_local_local_1_1 POST_SCRIPT_TERMINATED 4448.0 local - 5
1463968580 stage_in_local_local_1_1 POST_SCRIPT_SUCCESS 0 local - 5
1463968580 stage_in_local_local_1_0 JOB_TERMINATED 4450.0 local - 7
1463968580 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 7
1463968580 stage_in_local_local_1_0 POST_SCRIPT_STARTED 4450.0 local - 7
