1461539512 INTERNAL *** MONITORD_STARTED ***
1461539511 INTERNAL *** DAGMAN_STARTED 1169.0 ***
1461539515 create_dir_example_workflow_0_local SUBMIT 1170.0 local - 1
1461539515 stage_worker_local_example_workflow_0_local SUBMIT 1171.0 local - 2
1461539520 stage_worker_local_example_workflow_0_local EXECUTE 1171.0 local - 2
1461539520 create_dir_example_workflow_0_local EXECUTE 1170.0 local - 1
1461539520 stage_worker_local_example_workflow_0_local JOB_TERMINATED 1171.0 local - 2
1461539520 stage_worker_local_example_workflow_0_local JOB_SUCCESS 0 local - 2
1461539520 create_dir_example_workflow_0_local JOB_TERMINATED 1170.0 local - 1
1461539520 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1461539520 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 1170.0 local - 1
1461539525 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 1170.0 local - 1
1461539525 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1461539530 stage_in_local_local_0_1 SUBMIT 1172.0 local - 3
1461539530 stage_in_local_local_0_1 EXECUTE 1172.0 local - 3
1461539530 stage_in_local_local_0_0 SUBMIT 1173.0 local - 4
1461539530 stage_in_remote_local_0_1 SUBMIT 1174.0 local - 5
1461539530 stage_in_remote_local_0_0 SUBMIT 1175.0 local - 6
1461539535 stage_in_local_local_0_1 JOB_TERMINATED 1172.0 local - 3
1461539535 stage_in_local_local_0_1 JOB_SUCCESS 0 local - 3
1461539535 stage_in_local_local_0_1 POST_SCRIPT_STARTED 1172.0 local - 3
1461539535 stage_in_remote_local_0_1 EXECUTE 1174.0 local - 5
1461539535 stage_in_local_local_0_0 EXECUTE 1173.0 local - 4
1461539535 stage_in_remote_local_0_0 EXECUTE 1175.0 local - 6
1461539540 stage_in_local_local_0_1 POST_SCRIPT_TERMINATED 1172.0 local - 3
1461539540 stage_in_local_local_0_1 POST_SCRIPT_SUCCESS 0 local - 3
1461539540 stage_in_local_local_0_0 JOB_TERMINATED 1173.0 local - 4
1461539540 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 4
1461539540 stage_in_local_local_0_0 POST_SCRIPT_STARTED 1173.0 local - 4
1461539540 stage_in_remote_local_0_0 JOB_TERMINATED 1175.0 local - 6
1461539540 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 6
1461539540 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 1175.0 local - 6
1461539540 stage_in_remote_local_0_1 JOB_TERMINATED 1174.0 local - 5
1461539540 stage_in_remote_local_0_1 JOB_SUCCESS 0 local - 5
1461539540 stage_in_remote_local_0_1 POST_SCRIPT_STARTED 1174.0 local - 5
1461539545 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 1173.0 local - 4
1461539545 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1461539545 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 1175.0 local - 6
1461539545 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 6
1461539545 stage_in_remote_local_0_1 POST_SCRIPT_TERMINATED 1174.0 local - 5
1461539545 stage_in_remote_local_0_1 POST_SCRIPT_SUCCESS 0 local - 5
1461539551 import_1_ID0000002 SUBMIT 1176.0 condorpool - 7
1461539551 import_6_ID0000007 SUBMIT 1177.0 condorpool - 8
1461539551 import_7_ID0000008 SUBMIT 1178.0 condorpool - 9
1461539551 import_0_ID0000001 SUBMIT 1179.0 condorpool - 10
1461539551 import_4_ID0000005 SUBMIT 1180.0 condorpool - 11
1461539556 import_1_ID0000002 EXECUTE 1176.0 condorpool - 7
1461539556 import_6_ID0000007 EXECUTE 1177.0 condorpool - 8
