1461264918 INTERNAL *** MONITORD_STARTED ***
1461264916 INTERNAL *** DAGMAN_STARTED 873.0 ***
1461264921 create_dir_example_workflow_0_local SUBMIT 874.0 local - 1
1461264921 stage_worker_local_example_workflow_0_local SUBMIT 875.0 local - 2
1461264926 create_dir_example_workflow_0_local EXECUTE 874.0 local - 1
1461264926 stage_worker_local_example_workflow_0_local EXECUTE 875.0 local - 2
1461264926 stage_worker_local_example_workflow_0_local JOB_TERMINATED 875.0 local - 2
1461264926 stage_worker_local_example_workflow_0_local JOB_SUCCESS 0 local - 2
1461264926 create_dir_example_workflow_0_local JOB_TERMINATED 874.0 local - 1
1461264926 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1461264926 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 874.0 local - 1
1461264931 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 874.0 local - 1
1461264931 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1461264936 stage_in_local_local_0_1 SUBMIT 876.0 local - 3
1461264936 stage_in_local_local_0_1 EXECUTE 876.0 local - 3
1461264936 stage_in_local_local_0_0 SUBMIT 877.0 local - 4
1461264936 stage_in_remote_local_0_1 SUBMIT 878.0 local - 5
1461264936 stage_in_remote_local_0_0 SUBMIT 879.0 local - 6
1461264941 stage_in_local_local_0_1 JOB_TERMINATED 876.0 local - 3
1461264941 stage_in_local_local_0_1 JOB_SUCCESS 0 local - 3
1461264941 stage_in_local_local_0_1 POST_SCRIPT_STARTED 876.0 local - 3
1461264941 stage_in_remote_local_0_1 EXECUTE 878.0 local - 5
1461264941 stage_in_local_local_0_0 EXECUTE 877.0 local - 4
1461264941 stage_in_remote_local_0_0 EXECUTE 879.0 local - 6
1461264946 stage_in_local_local_0_1 POST_SCRIPT_TERMINATED 876.0 local - 3
1461264946 stage_in_local_local_0_1 POST_SCRIPT_SUCCESS 0 local - 3
