1463417986 INTERNAL *** MONITORD_STARTED ***
1463417985 INTERNAL *** DAGMAN_STARTED 3029.0 ***
1463417989 create_dir_example_workflow_0_local SUBMIT 3030.0 local - 1
1463417989 stage_worker_local_example_workflow_0_local SUBMIT 3031.0 local - 2
1463417994 stage_worker_local_example_workflow_0_local EXECUTE 3031.0 local - 2
1463417994 create_dir_example_workflow_0_local EXECUTE 3030.0 local - 1
1463417994 stage_worker_local_example_workflow_0_local JOB_TERMINATED 3031.0 local - 2
1463417994 stage_worker_local_example_workflow_0_local JOB_SUCCESS 0 local - 2
1463417994 create_dir_example_workflow_0_local JOB_TERMINATED 3030.0 local - 1
1463417994 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1463417994 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 3030.0 local - 1
1463417999 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 3030.0 local - 1
1463417999 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1463418005 stage_in_local_local_0_0 SUBMIT 3032.0 local - 3
1463418005 stage_in_local_local_0_0 EXECUTE 3032.0 local - 3
1463418005 stage_in_remote_local_2_1 SUBMIT 3033.0 local - 4
1463418005 stage_in_local_local_1_1 SUBMIT 3034.0 local - 5
1463418005 stage_in_local_local_4_0 SUBMIT 3035.0 local - 6
1463418005 stage_in_local_local_1_0 SUBMIT 3036.0 local - 7
1463418010 stage_in_local_local_0_0 JOB_TERMINATED 3032.0 local - 3
1463418010 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 3
1463418010 stage_in_local_local_0_0 POST_SCRIPT_STARTED 3032.0 local - 3
1463418010 stage_in_local_local_1_1 EXECUTE 3034.0 local - 5
1463418010 stage_in_remote_local_2_1 EXECUTE 3033.0 local - 4
1463418010 stage_in_local_local_1_0 EXECUTE 3036.0 local - 7
1463418010 stage_in_local_local_4_0 EXECUTE 3035.0 local - 6
1463418010 stage_in_local_local_1_1 JOB_TERMINATED 3034.0 local - 5
1463418010 stage_in_local_local_1_1 JOB_SUCCESS 0 local - 5
1463418010 stage_in_local_local_1_1 POST_SCRIPT_STARTED 3034.0 local - 5
1463418010 stage_in_local_local_4_0 JOB_TERMINATED 3035.0 local - 6
1463418010 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 6
1463418010 stage_in_local_local_4_0 POST_SCRIPT_STARTED 3035.0 local - 6
1463418010 stage_in_local_local_2_0 SUBMIT 3037.0 local - 8
1463418010 stage_in_local_local_2_1 SUBMIT 3038.0 local - 9
1463418010 stage_in_remote_local_1_1 SUBMIT 3039.0 local - 10
1463418010 stage_in_remote_local_4_0 SUBMIT 3040.0 local - 11
1463418010 stage_in_local_local_3_1 SUBMIT 3041.0 local - 12
1463418015 stage_in_local_local_1_1 POST_SCRIPT_TERMINATED 3034.0 local - 5
1463418015 stage_in_local_local_1_1 POST_SCRIPT_SUCCESS 0 local - 5
1463418015 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 3032.0 local - 3
